_id,skill_tree_id,required_skill_tree_points,name,name_de,name_fr,name_es,name_it,name_jp,description,description_de,description_fr,description_es,description_it,description_jp
11,10,10,Ruthlessness,Rücksichtslosgkt,Sans pitié,Crueldad,Inesorabilità,無慈悲,"Increases damage when attacking enemy weak points, and increases Affinity by 15%.",Erhöht Schaden beim Angriff auf feindliche Schwachpunkte und erhöht Affinität um 15%.,Augmente les dégâts des attaques lancées contre les points faibles des ennemis et l'affinité de 15%.,Aumenta el daño al atacar puntos débiles del enemigo y aumenta la afinidad un 15%.,Aumenta i danni inflitti ai punti deboli e aumenta l'affinità del 15%.,弱点特効 ＋ 見切り+2
12,11,10,Bloodthirst,Blutdurst,Soif de sang,Sed de sangre,Sete di sangue,精神力,"Speeds up gauges/charged attacks. Can eat Raw Meat, and Steaks temporarily grant unlimited Stamina.","Beschl. Laden. v. Balken/Ladeangr. Rohes Fleisch wird essbar, Steaks verleihen kurz unendliche Ausdauer.",Accélère les att. chargées/à jauge. Viande crue consommable. Steaks : stamina momentanément illimitée.,Acelera indicadores/atq. carga. Permite comer carne cruda. Filetes dan resistencia ilimitada temporal.,Attacchi caricati/barra più veloci. Puoi mangiare carne cruda. Breve resistenza infinita con bistecche.,集中 ＋ お肉大好き
13,12,10,Shield Bearer,Schildträger,Rempart,Portaescudos,Scudiero,盾使い,"Causes previously unblockable attacks to become blockable, and increases Stamina recovery speed.",Vorher unblockbare Angriffe werden blockbar. Ausdauerholungs- geschwindigkeit erhöht sich.,Vous pouvez maintenant bloquer les attaques imparables. Accélère la récupération de stamina.,Ataques que no eran bloqueables se hacen bloqueables y aumenta la velocidad de recup. de resistencia.,Rende bloccabili gli attacchi non parabili e accelera il recupero di resistenza.,ガード強化 ＋ スタミナ急速回復
14,13,10,Fleet Feet,Leichtfuß,Pieds légers,Pies veloces,Piè veloce,舞闘家,"Increases evade distance, and also increases Attack when your Health Gauge is full.","Erhöht Ausweichentfernung und auch Angriff, wenn der Gesundheitsbalken voll ist.","Augmente la distance d'évasion, mais aussi l'attaque quand votre jauge de vie est pleine.",Aumenta la distancia de evasión y aumenta el ataque cuando el indicador de salud está al máximo.,"Aumenta la portata della schivata e, se la barra vita è al massimo, anche l'attacco.",
15,14,10,Elementality,Elementalität,Élémentalité,Elementalidad,Elementalità,属物強化,Increases the power of elemental attacks and extends the effect time of certain items.,Erhöht Kraft v. Elementangriffen und verlängert die Effektdauer bestimmter Objekte.,Augmente la puissance des attaques élémentaires et la durée d'effet de certains objets.,Aumenta la potencia de ataques elementales y alarga el tiempo de efecto de ciertos objetos.,Potenzia gli attacchi elementali e prolunga gli effetti di alcuni oggetti.,属性攻撃強化 ＋ アイテム使用強化
16,15,10,Pack Rat,Sammelwut,Collectionneur,Rataque,Estrattore,お守りマニア,Raises number of items that can be gathered at Gathering Points. Allows mining 2 Charms at once... Maybe.,"Erhöhte Zahl an Sammelpunkten sammelbarer Objekte. Chance, 2 Amulette auszugraben... vielleicht.",Augm. le nb d'obj. ramassés aux pts de collecte. Permet d'extraire deux charmes en même temps... Peut-être.,Aumenta el número de objetos para recoger en zonas de recogida. Quizá extraes 2 amuletos a la vez.,Aumenta l'estrazione nei punti di raccolta. Permette di estrarre due amuleti insieme... forse.,採取+1 ＋ お守りハンター
17,16,10,Bounty Hunter,Kopfgeldjäger,Flibustier,Cazarrecompensas,Cacciataglie,増収,Increases the likelihood of obtaining more Quest Rewards and more Reward Items for captures.,Erhöht die Wahrscheinlichkeit für höhere Quest-Belohnungen u. Belohnungsobjekten bei Fängen.,Augmente la probabilité d'obtenir plus de récompenses pour les quêtes et les captures.,Aumenta la probabilidad de obtener más recompensas de misión y objetos de recompensa por captura.,Maggiori probabilità di ottenere premi missione maggiori e più oggetti premio per le catture.,幸運 ＋ 捕獲達人
18,17,10,Awaken,Erwachen,Réveil,Despertar,Risveglio,覚醒,Skills that release the latent elemental properties in some weapons that don't have elements.,Setzt die verborgenen Elementeigenschaften von einigen Waffen ohne Elemente frei.,Libère les propriétés élémentaires latentes dans certaines armes n'ayant pas d'élément.,Libera propiedades elementales latentes en ciertas armas que carecen de ellas.,Libera le proprietà elementali nascoste delle armi che non hanno elementi.,無属性武器の属性を解放するスキル
19,18,10,Mind's Eye,Übersinnl. Kraft,Œil de l'esprit,Ojo preciso,Preveggenza,心眼,Prevents your attacks from being deflected.,"Verhindert, dass deine Angriffe abgelenkt werden.",Empêche vos attaques d'être détournées.,Evita que tus ataques sean rechazados.,Impedisce ai tuoi attacchi di essere deviati.,攻撃がはじかれる判定になってもはじかれモーションを取らなくなる
20,18,-10,Blind Eye,Fehlsichtig,Œil aveugle,Ojo ciego,Prevedibilità,未熟,Causes your attacks to be deflected more easily.,Deine Angriffe werden leichter abgelenkt.,Vos attaques sont détournées plus facilement.,Tus ataques son rechazados más fácilmente.,Rende i tuoi attacchi più facili da deviare.,通常弾かれない場合でも1/3の確率で弾かれる
21,19,10,Sharpness +1,Schärfe +1,Tranchant +1,Afilado +1,Acutezza +1,斬れ味レベル+1,Increases your weapon's Sharpness.,Erhöht die Schärfe deiner Waffe.,Augmente le tranchant de votre arme.,Aumenta el afilado de tu arma.,Aumenta l'acutezza della tua arma.,斬れ味ゲージが1段階伸びる
22,20,10,Critical Draw,Kritischer Hieb,Dégainage éclair,Desenf. especial,Critico rapido,抜刀術【技】,Increases Affinity for all draw attacks by 100%.,Erhöht die Affinität für alle Schnellangriffe um 100%.,L'affinité est augmentée de 100% lorsque vous attaquez en dégainant.,Aumenta la afinidad con todos los ataques de desenfundadura en un 100%.,Aumenta del 100% l'affinità per tutti gli attacchi rapidi.,武器出し攻撃時に会心率が+100%増える
23,21,10,Punishing Draw,Strafender Hieb,Batto-jutsu,Pena inmediata,Stordattacco,抜刀術【力】,Grants ability to Stun monsters with draw attacks from cutting weapons and slightly increases Attack.,Ermöglicht Betäuben von Monstern mit Schnittwaffen-Schnellangriffen und erhöht den Angriff leicht.,Étourdit les monstres en dégainant une lame et augmente légèrement l'attaque.,Permite aturdir a monstruos con desenfundadura de armas cortantes y aumenta algo el ataque.,Permette di stordire i mostri con attacchi rapidi di armi da taglio e aumenta leggermente l'attacco.,切断属性の武器出し攻撃時に気絶値30と減気値20が追加され、基本攻撃力が5上がる
24,22,20,Reload Speed +3,NachlGesch +3,Rechargement +3,Vel. recarga +3,Ricarica +3,装填速度+3,"Greatly speeds up Bowgun reloading, and auto-loads Bow coatings.",Beschleunigt Nachladen von Bogengewehr stark. Lädt Bogen- beschichtungen automatisch.,Accélère grandement le rechargement du fusarbalète et charge auto. les fioles.,Acelera mucho la recarga de ballesta y carga automáticamente los revestimientos de arco.,Accelera molto la ricarica della balestra e carica automaticamente le boccette.,ボウガンのリロードが3段階分速くなる。しゃがみ撃ちには影響なし。弓のビンが切り替えるだけで自動で装着される
25,22,15,Reload Speed +2,NachlGesch +2,Rechargement +2,Vel. recarga +2,Ricarica +2,装填速度+2,"Speeds up Bowgun reloading, and auto-loads Bow coatings.",Beschleunigt Nachladen von Bogengewehr. Lädt Bogen- beschichtungen automatisch.,Accélère le rechargement du fusarbalète et charge automatiquement les fioles.,Acelera la recarga de ballesta y carga automáticamente los revestimientos de arco.,Accelera la ricarica della balestra e carica automaticamente le boccette.,ボウガンのリロードが2段階分速くなる。しゃがみ撃ちには影響なし。弓のビンが切り替えるだけで自動で装着される
26,22,10,Reload Speed +1,NachlGesch +1,Rechargement +1,Vel. recarga +1,Ricarica +1,装填速度+1,"Slightly speeds up Bowgun reloading, and speeds up Bow-coating loading.",Beschleunigt Nachladen von Bogengewehr leicht. Beschleunigt Laden von Bogenbeschichtungen.,Accélère légèrement le rechargement du fusarbalète et le chargement des fioles.,Acelera ligeramente la recarga de ballesta y la carga de revestimientos de arco.,Accelera di poco la ricarica della balestra e l'utilizzo delle boccette per intingere frecce.,ボウガンのリロードが1段階分速くなる。しゃがみ撃ちには影響なし。弓のビンの切り替えが0.75倍に速くなる
27,22,-10,Reload Speed -1,NachlGesch -1,Rechargement -1,Vel. recarga -1,Ricarica -1,装填速度-1,Slightly slows down Bowgun reloading and Bow-coating loading.,Verlangsamt Nachladen von Bogengewehr und Laden von Bogenbeschichtungen leicht.,Ralentit légèrement le rechargement du fusarbalète et le chargement des fioles.,Ralentiza ligeramente la recarga de ballesta y la carga de revestimientos de arco.,Rallenta di poco la ricarica della balestra e l'utilizzo delle boccette per intingere frecce.,ボウガンのリロードが1段階分遅くなる。しゃがみ撃ちには影響なし。弓のビンの装着速度が1.1倍に遅くなる
28,22,-15,Reload Speed -2,NachlGesch -2,Rechargement -2,Vel. recarga -2,Ricarica -2,装填速度-2,Slows down Bowgun reloading and Bow-coating loading.,Verlangsamt Nachladen von Bogengewehr und Laden von Bogenbeschichtungen.,Ralentit le rechargement du fusarbalète et le chargement des fioles.,Ralentiza la recarga de ballesta y la carga de revestimientos de arco.,Rallenta la ricarica della balestra e l'utilizzo delle boccette per intingere frecce.,ボウガンのリロードが2段階分遅くなる。しゃがみ撃ちには影響なし。弓のビンの装着速度が1.2倍に遅くなる
29,22,-20,Reload Speed -3,NachlGesch -3,Rechargement -3,Vel. recarga -3,Ricarica -3,装填速度-3,Greatly slows down Bowgun reloading and Bow-coating loading.,Verlangsamt Nachladen von Bogengewehr und Laden von Bogenbeschichtungen stark.,Ralentit beaucoup le rechargement du fusarbalète et le chargement des fioles.,Ralentiza mucho la recarga de ballesta y la carga de revestimientos de arco.,Rallenta molto la ricarica della balestra e l'utilizzo delle boccette per intingere frecce.,ボウガンのリロードが3段階分遅くなる。しゃがみ撃ちには影響なし。弓のビンの装着速度が1.3倍に遅くなる
30,23,20,Recoil Down +3,Rückstoß red. +3,Recul +3,Cadencia +3,Rid. rinculo +3,反動軽減+3,Greatly reduces Bowgun recoil.,Verringert den Bogengewehr- Rückstoß stark.,Réduit grandement le recul du fusarbalète.,Aumenta mucho la cadencia de la ballesta.,Riduce molto il rinculo della balestra.,ボウガンの反動が3段階小さくなる。速射の反動には効果がない
31,23,15,Recoil Down +2,Rückstoß red. +2,Recul +2,Cadencia +2,Rid. rinculo +2,反動軽減+2,Reduces Bowgun recoil.,Verringert den Bogengewehr- Rückstoß.,Réduit le recul du fusarbalète.,Aumenta la cadencia de la ballesta.,Riduce il rinculo della balestra.,ボウガンの反動が2段階小さくなる。速射の反動には効果がない
32,23,10,Recoil Down +1,Rückstoß red. +1,Recul +1,Cadencia +1,Rid. rinculo +1,反動軽減+1,Slightly reduces Bowgun recoil.,Verringert den Bogengewehr- Rückstoß leicht.,Réduit légèrement le recul du fusarbalète.,Aumenta algo la cadencia de la ballesta.,Riduce leggermente il rinculo della balestra.,ボウガンの反動が1段階小さくなる。速射の反動には効果がない
33,23,-10,Recoil Down -1,Rückstoß red. -1,Recul -1,Cadencia -1,Rid. rinculo -1,反動軽減-1,Slightly increases Bowgun recoil.,Verstärkt den Bogengewehr- Rückstoß leicht.,Augmente légèrement le recul du fusarbalète.,Reduce algo la cadencia de la ballesta.,Aumenta leggermente il rinculo della balestra.,ボウガンの反動が1段階大きくなる。速射の反動には効果がない
34,23,-15,Recoil Down -2,Rückstoß red. -2,Recul -2,Cadencia -2,Rid. rinculo -2,反動軽減-2,Increases Bowgun recoil.,Verstärkt den Bogengewehr- Rückstoß.,Augmente le recul du fusarbalète.,Reduce la cadencia de la ballesta.,Aumenta il rinculo della balestra.,ボウガンの反動が2段階大きくなる。速射の反動には効果がない
35,23,-20,Recoil Down -3,Rückstoß red. -3,Recul -3,Cadencia -3,Rid. rinculo -3,反動軽減-3,Greatly increases Bowgun recoil.,Verstärkt den Bogengewehr- Rückstoß stark.,Augmente grandement le recul du fusarbalète.,Reduce mucho la cadencia de la ballesta.,Aumenta molto il rinculo della balestra.,ボウガンの反動が3段階大きくなる。速射の反動には効果がない
36,24,10,Bonus Shot,Bonus-Schuss,Franc-tireur,Disparo bonus,Colpo extra,連発数+1,Allows one extra shot to be fired while Rapid Firing.,Erlaubt einen zusätzlichen Schuss bei Schnellfeuer.,Donne 1 tir supplémentaire lorsque vous tirez en rafale.,Permite disparar un tiro más con el disparo rápido.,Garantisce un colpo aggiuntivo durante il fuoco rapido.,速射時の発射数が+1される
37,25,15,Latent Power +2,Latente Kraft +2,Force latente +2,Poder oculto +2,Forza +2,力の解放+2,Greatly empowers you for a limited time when certain conditions are met.,"Macht dich für einen begrenzten Zeitraum viel stärker, wenn bestimmte Beding. erfüllt sind.",Vous donne beaucoup de force pendant une durée limitée dans certaines conditions.,Te da gran poder durante un tiempo limitado cuando se dan unas condiciones determinadas.,"Ti rinforza molto, temporaneamente, in determinate condizioni.",受けた合計ダメージが180ごとに、または大型モンスターに発見された状態が合計5分間になるたびに発動。1分30秒の間、会心率が50%上がり、スタミナ消費が1/4になる。
38,25,10,Latent Power +1,Latente Kraft +1,Force latente +1,Poder oculto +1,Forza +1,力の解放+1,Empowers you for a limited time when certain conditions are met.,"Stärkt dich für einen begrenzten Zeitraum, wenn bestimmte Bedingungen erfüllt sind.",Vous donne de la force pendant une durée limitée dans certaines conditions.,Te da poder durante un tiempo limitado cuando se dan unas condiciones determinadas.,Ti rinforza temporaneamente in determinate condizioni.,受けた合計ダメージが180ごとに、または大型モンスターに発見された状態が合計5分間になるたびに発動。1分30秒の間、会心率が30%上がり、スタミナ消費が1/2になる。
39,26,15,Challenger +2,Herausforder. +2,Challenger +2,Espíritu +2,Sfidante +2,挑戦者+2,Greatly increases Attack and Affinity when a large monster in the same area becomes angry.,"Erhöht Angriff und Affinität stark, wenn ein großes Monster im selben Bereich wütend wird.",Augmente grandement l'attaque et l'affinité si un grand monstre dans la même zone s'énerve.,Aumenta mucho ataque y afinidad cuando un monstruo grande se enfada en la misma área.,Aumenta molto attacco e affinità quando un mostro grande si arrabbia nella stessa area.,大型モンスターの怒りに反応して能力がさらに上がる。3秒後に攻撃力が25、会心率が20%上がる。
40,26,10,Challenger +1,Herausforder. +1,Challenger +1,Espíritu +1,Sfidante +1,挑戦者+1,Increases Attack and Affinity when a large monster in the same area becomes angry.,"Erhöht Angriff und Affinität, wenn ein großes Monster im selben Bereich wütend wird.",Augmente l'attaque et l'affinité si un grand monstre dans la même zone s'énerve.,Aumenta el ataque y la afinidad cuando un monstruo grande se enfada en la misma área.,Aumenta attacco e affinità quando un mostro grande si arrabbia nella stessa area.,大型モンスターの怒りに反応して能力が上がる。3秒後に攻撃力が10、会心率が10%上がる。
41,27,10,Rock Steady,Felsenfest,Stabilisation,Invencible,Imperturbabile,金剛体,Lessens your reaction when attacked.,Verbessert deine Reaktion nach Monsterangriffen.,Permet de récupérer plus vite des attaques.,Te permite recuperarte de los ataques que recibas con mayor rapidez.,Permette di riprenderti più velocemente dagli attacchi.,耳栓 ＋ 風圧【小】無効 また、攻撃を食らった時のリアクションが1段階軽減される
42,28,20,Charm God,Amulettgott,Traque-charme,Dios del amuleto,Amuleti +3,お守りマスター,"Allows you to mine two Charms at once, maybe.",Du kannst vielleicht zwei Amulette gleichzeitig ausgraben.,Permet d'extraire deux charmes en même temps. Peut-être.,Te permite extraer dos amuletos a la vez... Quizá.,"Permette di estrarre due amuleti per volta, forse.",採集時にお守りが50%の確率で2つ入手できるようになる
43,28,15,Charm Chaser,Amulettjäger,Chasse-charme,Buscamuletos,Amuleti +2,お守りハンター,Allows you to mine two Charms at once... Maybe.,Du kannst zwei Amulette gleichzeitig ausgraben... vielleicht.,Permet d'extraire deux charmes en même temps... Peut-être.,Te permite extraer dos amuletos a la vez... Quizá.,Permette di estrarre due amuleti per volta... forse.,採集時にお守りが30%の確率で2つ入手できるようになる
44,28,10,Charm Collector,Amulettsammler,Collecte-charme,Recogeamuletos,Amuleti +1,お守り収集,Allows you to mine two Charms at once... Maaaybe.,Du kannst zwei Amulette gleichzeitig ausgraben... aber nur vielleicht.,Permet d'extraire deux charmes en même temps... Peut-êêêtre.,Te permite extraer dos amuletos a la vez... Quizááá...,Permette di estrarre due amuleti per volta... forse.,採集時にお守りが20%の確率で2つ入手できるようになる
45,29,10,Weakness Exploit,Schwächeausnutzg,Point faible,Maza,Punto debole,弱点特効,Increases damage when striking body parts upon which your attacks are highly effective.,"Erhöht den Schaden von Angriffen auf Körperteile, für die deine Angriffe sehr effizient sind.",Augmente les dégâts quand vous frappez des parties du corps où vos attaques sont très efficaces.,Aumenta el daño al golpear partes del cuerpo en las que tus ataques son muy efectivos.,Aumenta i danni quando colpisci le parti del corpo su cui i tuoi attacchi sono più efficaci.,攻撃時に肉質が45%以上だと肉質に+5%の補正が付いてダメージを与える
46,30,10,Blightproof,Brandsicher,Anti-fléau,Antiplagas,Annulla-elementi,属性やられ無効,"Negates all elemental blights (Fire, Water, Thunder, Ice, and Dragon).","Negiert alle Elementeffekte (Feuer-, Wasser-, Donner-, Eis- und Drachenbrand).","Annule tous les fléaux élémentaires (feu, eau, foudre, glace et dragon).","Anula todas las plagas elementales (fuego, agua, rayo, hielo y draco).",Annulla gli effetti speciali degli attacchi elementali.,火、水、雷、氷、龍の属性やられにならなくなる
47,31,25,Attack Up (XL),Angriff ++++,Attaque +4,Ataque +4,Attacco +4,攻撃力UP【超】,Massively increases Attack.,Erhöht Angriff sehr stark.,Augmente massivement l'attaque.,Aumenta muchísimo el ataque.,Aumenta nettamente l'attacco.,攻撃力+25
48,31,20,Attack Up (L),Angriff +++,Attaque +3,Ataque +3,Attacco +3,攻撃力UP【大】,Greatly increases Attack.,Erhöht Angriff stark.,Augmente grandement l'attaque.,Aumenta mucho el ataque.,Aumenta molto l'attacco.,攻撃力+20
49,31,15,Attack Up (M),Angriff ++,Attaque +2,Ataque +2,Attacco +2,攻撃力UP【中】,Increases Attack.,Erhöht Angriff.,Augmente l'attaque.,Aumenta el ataque.,Aumenta l'attacco.,攻撃力+15
50,31,10,Attack Up (S),Angriff +,Attaque +1,Ataque +1,Attacco +1,攻撃力UP【小】,Slightly increases Attack.,Erhöht Angriff leicht.,Augmente légèrement l'attaque.,Aumenta algo el ataque.,Aumenta leggermente l'attacco.,攻撃力+10
51,31,-10,Attack Down (S),Angriff -,Attaque -1,Ataque -1,Attacco -1,攻撃力DOWN【小】,Slightly decreases Attack.,Verringert Angriff leicht.,Diminue légèrement l'attaque.,Reduce algo el ataque.,Riduce leggermente l'attacco.,攻撃力-5
52,31,-15,Attack Down (M),Angriff --,Attaque -2,Ataque -2,Attacco -2,攻撃力DOWN【中】,Decreases Attack.,Verringert Angriff.,Diminue l'attaque.,Reduce el ataque.,Riduce l'attacco.,攻撃力-10
53,31,-20,Attack Down (L),Angriff ---,Attaque -3,Ataque -3,Attacco -3,攻撃力DOWN【大】,Greatly decreases Attack.,Verringert Angriff stark.,Diminue grandement l'attaque.,Reduce mucho el ataque.,Riduce molto l'attacco.,攻撃力-15
54,32,25,Defense Up (XL),Verteidigng ++++,Défense +4,Defensa +4,Difesa +4,防御力UP【超】,Massively increases Defense.,Erhöht Verteidigung sehr stark.,Augmente massivement la défense.,Aumenta muchísimo la defensa.,Aumenta nettamente la difesa.,防御力1.08倍+30
55,32,20,Defense Up (L),Verteidigung +++,Défense +3,Defensa +3,Difesa +3,防御力UP【大】,Greatly increases Defense.,Erhöht Verteidigung stark.,Augmente grandement la défense.,Aumenta mucho la defensa.,Aumenta molto la difesa.,防御力1.06倍+25
56,32,15,Defense Up (M),Verteidigung ++,Défense +2,Defensa +2,Difesa +2,防御力UP【中】,Increases Defense.,Erhöht Verteidigung.,Augmente la défense.,Aumenta la defensa.,Aumenta la difesa.,防御力1.03倍+20
57,32,10,Defense Up (S),Verteidigung +,Défense +1,Defensa +1,Difesa +1,防御力UP【小】,Slightly increases Defense.,Erhöht Verteidigung leicht.,Augmente légèrement la défense.,Aumenta algo la defensa.,Aumenta leggermente la difesa.,防御力+15
58,32,-10,Defense Down (S),Verteidigung -,Défense -1,Defensa -1,Difesa -1,防御力DOWN【小】,Slightly decreases Defense.,Verringert Verteidigung leicht.,Diminue légèrement la défense.,Reduce algo la defensa.,Riduce leggermente la difesa.,防御力-10。ただし1未満にはならない
59,32,-15,Defense Down (M),Verteidigung --,Défense -2,Defensa -2,Difesa -2,防御力DOWN【中】,Decreases Defense.,Verringert Verteidigung.,Diminue la défense.,Reduce la defensa.,Riduce la difesa.,防御力0.95倍-10。ただし1未満にはならない
60,32,-20,Defense Down (L),Verteidigung ---,Défense -3,Defensa -3,Difesa -3,防御力DOWN【大】,Greatly decreases Defense.,Verringert Verteidigung stark.,Diminue grandement la défense.,Reduce mucho la defensa.,Riduce molto la difesa.,防御力0.9倍-10。ただし1未満にはならない
61,33,20,Gathering God,Sammelgott,Collecteur expert,Dios recogedor,Raccolta +3,採取マスター,Very often raises the number of times items can be gathered at Gathering Points.,Sehr oft können Objekte an Sammelpunkten häufiger gesammelt werden.,Augmente très souvent le nombre d'utilisations des points de collecte.,Muy a menudo aumenta las veces en que pueden recogerse objetos en zonas de recogida.,Aumenta molto spesso il numero di utilizzi di un punto di raccolta.,アイテムの次回も採取できる確率が通常の25/32から31/32になる。
62,33,15,Gathering +2,Sammeln +2,Collecte +2,Recogida +2,Raccolta +2,採取+2,Often raises the number of times items can be gathered at Gathering Points.,Oft können Objekte an Sammelpunkten häufiger gesammelt werden.,Augmente souvent le nombre d'utilisations des points de collecte.,A menudo aumenta las ocasiones en que pueden recogerse objetos en zonas de recogida.,Aumenta spesso il numero di utilizzi di un punto di raccolta.,アイテムの次回も採取できる確率が通常の25/32から29/32になる。
63,33,10,Gathering +1,Sammeln +1,Collecte +1,Recogida +1,Raccolta +1,採取+1,Sometimes raises the number of times items can be gathered at Gathering Points.,Manchmal können Objekte an Sammelpunkten häufiger gesammelt werden.,Augmente parfois le nombre d'utilisations des points de collecte.,A veces aumenta las ocasiones en que pueden recogerse objetos en zonas de recogida.,A volte aumenta il numero di utilizzi di un punto di raccolta.,アイテムの次回も採取できる確率が通常の25/32から27/32になる。
64,33,-10,Gathering -1,Sammeln -1,Collecte -1,Recogida -1,Raccolta -1,採取-1,Sometimes lowers the number of times items can be gathered at Gathering Points.,Manchmal können Objekte an Sammelpunkten seltener gesammelt werden.,Réduit parfois le nombre d'utilisations des points de collecte.,A veces reduce las ocasiones en que pueden recogerse objetos en zonas de recogida.,A volte riduce il numero di utilizzi di un punto di raccolta.,アイテムの次回も採取できる確率が通常の25/32から21/32になる。
