_id,item_id,skill_tree_id,point_value
262,1719,48,-1
263,1719,83,1
264,1720,48,-1
265,1720,83,3
266,1721,29,1
267,1721,40,-1
268,1722,29,4
269,1722,40,-2
270,1723,37,-1
271,1723,50,1
272,1724,37,-2
273,1724,50,4
274,1725,25,1
275,1725,125,-1
276,1726,25,3
277,1726,125,-1
278,1727,53,-1
279,1727,61,1
280,1728,49,-1
281,1728,54,1
282,1729,49,-1
283,1729,54,3
284,1730,95,2
285,1731,38,2
286,1732,30,4
287,1732,40,-2
288,1733,85,2
289,1734,86,2
290,1735,87,2
291,1736,88,2
292,1737,89,2
293,1738,45,-1
294,1738,52,1
295,1739,45,-1
296,1739,52,3
297,1740,39,-1
298,1740,100,1
299,1741,39,-1
300,1741,100,3
301,1742,105,2
302,1743,69,2
303,1744,31,-1
304,1744,72,1
305,1745,31,-1
306,1745,72,3
307,1746,73,2
308,1747,71,2
309,1748,37,-1
310,1748,74,1
311,1749,37,-1
312,1749,74,3
313,1750,75,2
314,1751,76,2
315,1752,56,1
316,1752,103,-1
317,1753,56,3
318,1753,103,-1
319,1754,97,1
320,1754,114,-1
321,1755,97,2
322,1756,112,-1
323,1756,117,1
324,1757,117,2
325,1758,6,1
326,1758,125,-1
327,1759,6,2
328,1760,26,1
329,1760,43,-1
330,1761,26,3
331,1761,43,-1
332,1762,55,1
333,1762,111,-1
334,1763,55,3
335,1763,111,-1
336,1764,27,1
337,1764,32,-1
338,1765,27,4
339,1765,32,-2
340,1766,63,-1
341,1766,109,1
342,1767,109,2
343,1768,33,-1
344,1768,110,1
345,1769,33,-1
346,1769,110,3
347,1770,53,-1
348,1770,61,3
349,1771,28,1
350,1772,70,2
351,1773,77,2
352,1774,2,2
353,1775,2,3
354,1776,2,3
355,1777,2,4
356,1778,2,4
357,1779,2,5
358,1780,137,2
359,1781,137,4
360,1782,137,5
361,1783,137,6
362,1784,3,2
363,1785,3,3
364,1786,3,3
365,1787,3,4
366,1788,3,4
367,1789,3,5
368,1790,4,2
369,1791,4,3
370,1792,4,3
371,1793,4,4
372,1794,4,4
373,1795,4,5
374,1796,5,2
375,1797,5,3
376,1798,5,3
377,1799,5,4
378,1800,5,4
379,1801,5,5
380,1802,7,2
381,1803,7,3
382,1804,7,4
383,1805,7,4
384,1806,7,5
385,1807,9,2
386,1808,9,3
387,1809,9,4
388,1810,9,4
389,1811,9,5
390,1812,144,2
391,1813,144,4
392,1814,144,5
393,1815,144,6
394,1816,8,2
395,1817,8,4
396,1818,8,4
397,1819,8,5
398,1820,140,2
399,1821,140,4
400,1822,140,5
401,1823,140,6
402,1824,142,2
403,1825,142,4
404,1826,142,5
405,1827,142,6
406,1828,10,2
407,1829,10,4
408,1830,10,4
409,1831,10,5
410,1832,11,3
411,1833,11,4
412,1834,11,4
413,1835,11,5
414,1836,12,3
415,1837,12,4
416,1838,12,4
417,1839,12,5
418,1840,13,3
419,1841,13,4
420,1842,13,4
421,1843,13,5
422,1844,14,3
423,1845,14,4
424,1846,14,4
425,1847,14,5
426,1848,143,2
427,1849,143,4
428,1850,143,5
429,1851,15,2
430,1852,15,3
431,1853,15,3
432,1854,15,4
433,1855,15,6
434,1856,16,2
435,1857,16,3
436,1858,16,6
437,1859,16,3
438,1860,16,4
439,1914,33,2
440,1914,112,3
441,1915,33,3
442,1915,112,2
443,1916,33,1
444,1916,112,1
445,1917,33,3
446,1917,112,1
447,1917,40,2
448,1917,35,-1
449,1918,33,1
450,1918,112,3
451,1919,129,2
452,1919,111,3
453,1919,40,-1
454,1920,129,3
455,1920,111,2
456,1920,40,-2
457,1921,129,2
458,1921,33,3
459,1921,35,2
460,1921,40,-2
461,1922,129,1
462,1922,111,3
463,1922,40,-2
464,1923,129,4
465,1923,111,2
466,1923,40,-2
467,1924,114,1
468,1924,40,1
469,1925,114,1
470,1925,40,3
471,1926,114,2
472,1926,40,1
473,1927,114,4
474,1927,40,2
475,1928,114,2
476,1928,40,2
477,1929,105,2
478,1929,103,2
479,1929,118,-2
480,1930,105,1
481,1930,103,2
482,1930,118,-2
483,1931,105,3
484,1931,103,1
485,1931,118,-1
486,1932,105,1
487,1932,103,2
488,1932,118,-1
489,1933,105,3
490,1933,103,1
491,1933,118,-2
492,1934,105,2
493,1934,103,3
494,1934,118,-2
495,1935,105,1
496,1935,103,2
497,1935,118,-2
498,1936,105,3
499,1936,103,1
500,1936,118,-1
501,1937,105,1
502,1937,103,2
503,1937,118,-1
504,1938,105,3
505,1938,103,1
506,1938,118,-2
507,1939,61,1
508,1939,95,1
509,1940,61,2
510,1940,95,1
511,1941,61,3
512,1941,95,1
513,1942,61,2
514,1942,95,3
515,1943,61,2
516,1943,95,4
517,1944,61,1
518,1944,95,1
519,1945,61,2
520,1945,95,1
521,1946,61,3
522,1946,95,1
523,1947,61,2
524,1947,95,3
525,1948,61,2
526,1948,95,4
527,1949,32,2
528,1949,101,2
529,1949,33,-2
530,1950,32,1
531,1950,101,3
532,1950,33,-2
533,1951,32,2
534,1951,101,1
535,1951,33,-1
536,1952,32,4
537,1952,101,1
538,1952,33,-1
539,1953,1,1
540,1954,60,2
541,1954,66,2
542,1954,33,-1
543,1955,60,2
544,1955,66,2
545,1955,33,-2
546,1956,60,1
547,1956,66,2
548,1956,33,-1
549,1957,60,3
550,1957,66,2
551,1957,33,-2
552,1958,1,1
553,1959,115,3
554,1959,106,5
555,1960,115,4
556,1960,106,3
557,1961,115,5
558,1961,106,2
559,1962,115,5
560,1962,33,4
561,1963,90,10
562,1964,32,6
563,1964,87,-2
564,1965,32,6
565,1965,87,-2
566,1966,48,2
567,1966,52,1
568,1966,119,2
569,1966,31,-2
570,1967,48,2
571,1967,52,2
572,1967,119,1
573,1967,31,-2
574,1968,48,2
575,1968,52,3
576,1968,119,1
577,1968,31,-2
578,1969,48,1
579,1969,52,2
580,1969,119,4
581,1969,31,-1
582,1970,48,3
583,1970,52,2
584,1970,119,2
585,1970,31,-1
586,1971,48,3
587,1971,52,2
588,1971,119,2
589,1971,31,-2
590,1972,48,1
591,1972,52,3
592,1972,119,1
593,1972,31,-2
594,1973,48,2
595,1973,52,3
596,1973,119,1
597,1973,31,-2
598,1974,48,1
599,1974,52,1
600,1974,119,4
601,1974,31,-1
602,1975,48,3
603,1975,52,1
604,1975,119,2
605,1975,31,-1
606,1976,40,2
607,1976,111,5
608,1976,120,-1
609,1977,40,8
610,1977,111,2
611,1978,40,2
612,1978,111,4
613,1978,120,-1
614,1979,40,8
615,1979,111,2
616,1980,61,1
617,1980,122,1
618,1980,121,-2
619,1981,61,1
620,1981,122,2
621,1981,121,-2
622,1982,61,3
623,1982,122,1
624,1982,121,-2
625,1982,38,2
626,1983,61,2
627,1983,122,3
628,1983,121,-1
629,1984,61,3
630,1984,122,3
631,1984,121,-1
632,1985,61,2
633,1985,122,2
634,1985,121,-2
635,1986,61,1
636,1986,122,2
637,1986,121,-2
638,1987,61,2
639,1987,122,1
640,1987,121,-2
641,1987,38,2
642,1988,61,3
643,1988,122,2
644,1988,121,-1
645,1989,61,2
646,1989,122,3
647,1989,121,-1
648,1990,17,1
649,1990,30,-2
650,1990,118,4
651,1991,17,2
652,1991,30,-1
653,1991,118,2
654,1992,17,2
655,1992,30,-1
656,1992,118,1
657,1993,1,1
658,1994,17,1
659,1994,30,-2
660,1994,118,1
661,1995,17,1
662,1995,30,-2
663,1995,118,4
664,1996,17,2
665,1996,30,-1
666,1996,118,2
667,1997,17,2
668,1997,30,-1
669,1997,118,1
670,1998,1,1
671,1999,17,1
672,1999,30,-2
673,1999,118,1
674,2000,45,1
675,2000,121,1
676,2000,63,-1
677,2001,45,1
678,2001,121,2
679,2001,63,-1
680,2002,45,4
681,2002,121,1
682,2002,63,-2
683,2003,45,2
684,2003,121,3
685,2003,63,-1
686,2004,45,2
687,2004,121,3
688,2004,63,-1
689,2005,22,2
690,2005,121,2
691,2005,63,-1
692,2006,22,1
693,2006,121,2
694,2006,63,-1
695,2007,22,4
696,2007,121,1
697,2007,63,-2
698,2008,22,2
699,2008,121,2
700,2008,63,-1
701,2009,22,2
702,2009,121,3
703,2009,63,-1
704,2010,119,1
705,2010,48,2
706,2011,119,1
707,2011,48,2
708,2012,119,1
709,2012,48,3
710,2012,111,-2
711,2013,119,5
712,2013,111,-2
713,2014,119,2
714,2014,48,1
715,2015,119,1
716,2015,48,1
717,2016,119,1
718,2016,48,2
719,2017,119,1
720,2017,48,3
721,2017,111,-2
722,2018,119,5
723,2018,111,-2
724,2019,119,2
725,2019,48,1
726,2020,48,2
727,2020,118,2
728,2020,121,-2
729,2021,48,2
730,2021,118,1
731,2021,121,-2
732,2022,48,3
733,2022,118,1
734,2022,121,-2
735,2023,48,1
736,2023,118,5
737,2023,121,-2
738,2024,1,1
739,2025,48,2
740,2025,118,3
741,2025,121,-2
742,2026,48,2
743,2026,118,1
744,2026,121,-2
745,2027,48,3
746,2027,118,1
747,2027,121,-2
748,2028,48,1
749,2028,118,4
750,2028,121,-2
751,2029,1,1
752,2030,51,2
753,2030,107,2
754,2030,106,-1
755,2031,51,2
756,2031,107,2
757,2031,106,-1
758,2032,51,2
759,2032,107,3
760,2032,106,-1
761,2033,51,2
762,2033,107,2
763,2033,106,-1
764,2034,51,2
765,2034,107,1
766,2034,106,-1
767,2035,51,2
768,2035,107,2
769,2035,106,-1
770,2036,51,2
771,2036,107,2
772,2036,106,-1
773,2037,51,2
774,2037,107,3
775,2037,106,-1
776,2038,51,2
777,2038,107,2
778,2038,106,-1
779,2039,51,2
780,2039,107,1
781,2039,106,-1
782,2040,80,3
783,2040,112,2
784,2040,35,-2
785,2041,80,1
786,2041,112,1
787,2041,35,-1
788,2042,80,3
789,2042,112,1
790,2042,35,-2
791,2043,80,2
792,2043,112,2
793,2043,35,-2
794,2044,80,1
795,2044,112,4
796,2044,35,-1
797,2045,80,3
798,2045,112,2
799,2045,35,-1
800,2046,80,1
801,2046,112,1
802,2046,35,-1
803,2047,80,3
804,2047,112,1
805,2047,35,-2
806,2048,80,2
807,2048,112,2
808,2048,35,-2
809,2049,80,1
810,2049,112,4
811,2049,35,-1
812,2050,6,2
813,2050,98,4
814,2050,114,-2
815,2051,6,3
816,2051,98,1
817,2051,114,-2
818,2052,6,2
819,2052,98,1
820,2052,114,-2
821,2053,6,1
822,2053,98,2
823,2053,114,-2
824,2054,6,2
825,2054,98,2
826,2054,114,-2
827,2055,6,2
828,2055,98,4
829,2055,114,-2
830,2056,6,3
831,2056,98,1
832,2056,114,-2
833,2057,6,2
834,2057,98,1
835,2057,114,-2
836,2058,6,1
837,2058,98,2
838,2058,114,-2
839,2059,6,2
840,2059,98,2
841,2059,114,-2
842,2060,49,1
843,2060,118,2
844,2060,114,-2
845,2061,49,2
846,2061,118,3
847,2061,114,-2
848,2062,49,3
849,2062,118,2
850,2062,114,-2
851,2063,49,1
852,2063,118,2
853,2063,114,-2
854,2064,49,3
855,2064,118,1
856,2064,114,-2
857,2065,49,2
858,2065,118,4
859,2065,114,-2
860,2066,49,3
861,2066,118,1
862,2066,114,-2
863,2067,49,2
864,2067,118,1
865,2067,114,-2
866,2068,49,1
867,2068,118,2
868,2068,114,-2
869,2069,49,2
870,2069,118,2
871,2069,114,-2
872,2070,40,3
873,2070,32,2
874,2070,33,-2
875,2071,40,4
876,2071,32,1
877,2071,33,-3
878,2072,40,1
879,2072,32,2
880,2072,33,-1
881,2072,45,2
882,2073,40,1
883,2073,32,4
884,2073,33,-1
885,2073,45,1
886,2074,1,1
887,2075,40,2
888,2075,32,2
889,2075,33,-2
890,2076,40,4
891,2076,32,1
892,2076,33,-3
893,2077,40,1
894,2077,32,2
895,2077,33,-1
896,2077,22,2
897,2078,40,1
898,2078,32,4
899,2078,33,-1
900,2078,22,1
901,2079,1,1
902,2080,92,3
903,2080,116,2
904,2080,120,2
905,2080,114,-2
906,2081,92,3
907,2081,116,1
908,2081,120,1
909,2081,114,-2
910,2082,92,1
911,2082,116,4
912,2082,120,3
913,2082,114,-2
914,2083,92,1
915,2083,116,2
916,2083,120,2
917,2083,114,-2
918,2084,92,2
919,2084,116,1
920,2084,120,2
921,2084,114,-2
922,2085,92,4
923,2085,116,1
924,2085,120,2
925,2085,114,-2
926,2086,92,2
927,2086,116,2
928,2086,120,1
929,2086,114,-2
930,2087,92,1
931,2087,116,4
932,2087,120,3
933,2087,114,-2
934,2088,92,1
935,2088,116,2
936,2088,120,2
937,2088,114,-2
938,2089,92,2
939,2089,116,1
940,2089,120,2
941,2089,114,-2
942,2090,82,2
943,2090,97,4
944,2090,114,-2
945,2090,40,1
946,2091,82,1
947,2091,97,3
948,2091,114,-2
949,2091,40,2
950,2092,82,3
951,2092,97,1
952,2092,114,-2
953,2093,82,2
954,2093,97,1
955,2093,114,-2
956,2094,82,2
957,2094,97,1
958,2094,114,-2
959,2094,40,3
960,2095,82,2
961,2095,97,3
962,2095,114,-2
963,2095,40,1
964,2096,82,1
965,2096,97,3
966,2096,114,-2
967,2096,40,2
968,2097,82,3
969,2097,97,1
970,2097,114,-2
971,2098,82,2
972,2098,97,2
973,2098,114,-2
974,2099,82,2
975,2099,97,1
976,2099,114,-2
977,2099,40,3
978,2100,36,1
979,2100,41,3
980,2100,119,2
981,2100,112,-2
982,2101,36,1
983,2101,41,3
984,2101,119,1
985,2101,112,-2
986,2102,36,3
987,2102,41,2
988,2102,119,3
989,2102,112,-2
990,2103,36,2
991,2103,41,1
992,2103,119,2
993,2103,112,-2
994,2104,36,3
995,2104,41,1
996,2104,119,2
997,2104,112,-2
998,2105,36,1
999,2105,41,4
1000,2105,119,1
1001,2105,112,-3
1002,2106,36,1
1003,2106,41,2
1004,2106,119,2
1005,2106,112,-2
1006,2107,36,3
1007,2107,41,2
1008,2107,119,3
1009,2107,112,-2
1010,2108,36,2
1011,2108,41,1
1012,2108,119,2
1013,2108,112,-2
1014,2109,36,3
1015,2109,41,1
1016,2109,119,2
1017,2109,112,-2
1018,2110,81,2
1019,2110,93,2
1020,2111,81,2
1021,2111,93,1
1022,2111,121,-2
1023,2112,81,3
1024,2112,93,2
1025,2113,81,3
1026,2113,93,2
1027,2113,121,-1
1028,2114,81,3
1029,2114,93,3
1030,2114,121,-2
1031,2115,81,2
1032,2115,93,2
1033,2116,81,2
1034,2116,93,1
1035,2116,121,-2
1036,2117,81,3
1037,2117,93,2
1038,2118,81,3
1039,2118,93,2
1040,2118,121,-1
1041,2119,81,3
1042,2119,93,3
1043,2119,121,-2
1044,2120,40,3
1045,2120,79,2
1046,2120,111,-2
1047,2121,40,4
1048,2121,79,2
1049,2121,111,-2
1050,2122,40,1
1051,2122,79,3
1052,2122,111,-2
1053,2123,40,2
1054,2123,79,2
1055,2123,111,-2
1056,2124,40,2
1057,2124,79,1
1058,2124,111,-2
1059,2125,40,3
1060,2125,79,2
1061,2125,111,-2
1062,2126,40,4
1063,2126,79,2
1064,2126,111,-2
1065,2127,40,1
1066,2127,79,3
1067,2127,111,-2
1068,2128,40,2
1069,2128,79,2
1070,2128,111,-2
1071,2129,40,2
1072,2129,79,1
1073,2129,111,-2
1074,2130,31,2
1075,2130,121,1
1076,2130,91,2
1077,2130,119,-1
1078,2131,31,2
1079,2131,121,2
1080,2131,91,3
1081,2131,119,-2
1082,2132,31,4
1083,2132,121,1
1084,2132,91,2
1085,2132,119,-2
1086,2133,31,2
1087,2133,121,3
1088,2134,31,3
1089,2134,121,3
1090,2135,31,1
1091,2135,121,1
1092,2135,91,2
1093,2135,119,-1
1094,2136,31,2
1095,2136,121,2
1096,2136,91,3
1097,2136,119,-2
1098,2137,31,4
1099,2137,121,1
1100,2137,91,2
1101,2137,119,-2
1102,2138,31,2
1103,2138,121,3
1104,2139,31,3
1105,2139,121,3
1106,2140,31,2
1107,2140,79,4
1108,2140,86,-2
1109,2141,31,2
1110,2141,79,3
1111,2141,86,-2
1112,2142,31,3
1113,2142,79,3
1114,2142,86,-1
1115,2143,31,1
1116,2143,49,3
1117,2143,41,-2
1118,2144,31,2
1119,2144,49,1
1120,2144,41,-2
1121,2145,31,2
1122,2145,79,4
1123,2145,86,-3
1124,2146,31,2
1125,2146,79,3
1126,2146,86,-2
1127,2147,31,3
1128,2147,79,3
1129,2147,86,-1
1130,2148,31,1
1131,2148,49,3
1132,2148,41,-2
1133,2149,31,2
1134,2149,49,1
1135,2149,41,-2
1136,2150,106,1
1137,2150,120,2
1138,2151,106,2
1139,2151,120,4
1140,2151,118,1
1141,2151,119,-1
1142,2152,106,2
1143,2152,120,1
1144,2152,118,2
1145,2152,119,-2
1146,2153,106,2
1147,2153,120,1
1148,2154,106,3
1149,2154,120,2
1150,2154,118,2
1151,2154,119,-1
1152,2155,106,1
1153,2155,120,2
1154,2156,106,2
1155,2156,120,4
1156,2156,118,1
1157,2156,119,-1
1158,2157,106,2
1159,2157,120,1
1160,2157,118,2
1161,2157,119,-2
1162,2158,106,2
1163,2158,120,1
1164,2159,106,3
1165,2159,120,2
1166,2159,118,2
1167,2159,119,-1
1168,2160,117,2
1169,2160,98,4
1170,2160,114,-2
1171,2161,117,1
1172,2161,98,2
1173,2161,90,2
1174,2161,114,-1
1175,2162,117,2
1176,2162,98,1
1177,2162,90,3
1178,2162,114,-2
1179,2163,117,4
1180,2163,98,1
1181,2163,90,2
1182,2163,114,-2
1183,2164,1,1
1184,2165,117,3
1185,2165,98,3
1186,2165,114,-2
1187,2166,117,1
1188,2166,98,2
1189,2166,90,2
1190,2166,114,-1
1191,2167,117,2
1192,2167,98,3
1193,2167,90,1
1194,2167,114,-2
1195,2168,117,3
1196,2168,98,2
1197,2168,90,1
1198,2168,114,-2
1199,2169,1,1
1200,2170,49,2
1201,2170,80,2
1202,2170,106,2
1203,2170,87,-2
1204,2171,49,2
1205,2171,80,2
1206,2171,106,2
1207,2171,87,-2
1208,2172,49,1
1209,2172,80,3
1210,2172,106,2
1211,2172,87,-2
1212,2173,49,3
1213,2173,80,1
1214,2173,106,2
1215,2173,87,-1
1216,2174,49,2
1217,2174,80,2
1218,2174,106,2
1219,2174,87,-1
1220,2175,49,3
1221,2175,80,3
1222,2175,106,2
1223,2175,87,-2
1224,2176,49,2
1225,2176,80,2
1226,2176,106,2
1227,2176,87,-2
1228,2177,49,3
1229,2177,80,1
1230,2177,106,2
1231,2177,87,-1
1232,2178,49,1
1233,2178,80,2
1234,2178,106,2
1235,2178,87,-2
1236,2179,49,2
1237,2179,80,2
1238,2179,106,2
1239,2179,87,-1
1240,2180,31,3
1241,2180,43,3
1242,2180,114,-2
1243,2181,31,1
1244,2181,43,2
1245,2181,114,-2
1246,2181,32,3
1247,2182,31,3
1248,2182,43,1
1249,2182,114,-2
1250,2182,32,2
1251,2183,31,2
1252,2183,43,3
1253,2183,114,-2
1254,2183,32,1
1255,2184,31,3
1256,2184,43,1
1257,2184,114,-2
1258,2184,32,2
1259,2185,31,3
1260,2185,78,1
1261,2185,114,-2
1262,2185,32,1
1263,2186,31,1
1264,2186,78,2
1265,2186,114,-2
1266,2186,32,3
1267,2187,31,3
1268,2187,78,4
1269,2187,114,-2
1270,2187,32,1
1271,2188,31,2
1272,2188,78,2
1273,2188,114,-2
1274,2188,32,2
1275,2189,31,3
1276,2189,78,1
1277,2189,114,-2
1278,2189,32,2
1279,2190,52,1
1280,2190,102,2
1281,2191,52,1
1282,2191,102,2
1283,2192,52,3
1284,2192,102,2
1285,2193,52,2
1286,2193,102,1
1287,2194,52,3
1288,2194,102,3
1289,2195,52,2
1290,2195,102,3
1291,2196,52,1
1292,2196,102,1
1293,2197,52,3
1294,2197,102,2
1295,2198,52,1
1296,2198,102,1
1297,2199,52,3
1298,2199,102,3
1299,2200,19,1
1300,2200,37,-1
1301,2200,42,2
1302,2200,45,1
1303,2201,42,2
1304,2201,45,1
1305,2202,19,2
1306,2202,37,-2
1307,2202,42,1
1308,2202,45,3
1309,2203,19,1
1310,2203,37,-1
1311,2203,42,1
1312,2203,45,3
1313,2204,42,4
1314,2204,45,2
1315,2205,32,-1
1316,2205,59,2
1317,2205,65,1
1318,2205,78,1
1319,2206,32,-1
1320,2206,65,1
1321,2206,78,3
1322,2207,32,-1
1323,2207,59,2
1324,2207,65,1
1325,2207,78,2
1326,2208,32,-1
1327,2208,59,4
1328,2208,65,1
1329,2208,78,3
1330,2209,32,-1
1331,2209,59,2
1332,2209,65,1
1333,2209,78,1
1334,2210,40,2
1335,2210,38,1
1336,2210,49,-2
1337,2211,40,4
1338,2211,38,2
1339,2211,49,-2
1340,2212,40,1
1341,2212,38,2
1342,2212,49,-1
1343,2213,40,2
1344,2213,38,1
1345,2213,49,-2
1346,2214,40,2
1347,2214,38,4
1348,2214,49,-1
1349,2215,40,2
1350,2215,38,1
1351,2215,49,-2
1352,2216,40,4
1353,2216,38,2
1354,2216,49,-2
1355,2217,40,1
1356,2217,38,2
1357,2217,49,-1
1358,2218,40,2
1359,2218,38,1
1360,2218,49,-2
1361,2219,40,2
1362,2219,38,4
1363,2219,49,-1
1364,2220,31,2
1365,2220,45,1
1366,2221,31,1
1367,2221,41,-2
1368,2221,43,2
1369,2221,45,4
1370,2222,31,2
1371,2222,41,-2
1372,2222,43,3
1373,2223,31,1
1374,2223,45,3
1375,2224,31,4
1376,2224,41,-1
1377,2224,45,2
1378,2225,22,1
1379,2225,31,2
1380,2226,22,4
1381,2226,31,1
1382,2226,41,-2
1383,2226,44,2
1384,2227,31,2
1385,2227,41,-2
1386,2227,44,3
1387,2228,22,3
1388,2228,31,1
1389,2229,22,2
1390,2229,31,4
1391,2229,41,-1
1392,2230,26,4
1393,2230,6,2
1394,2230,85,-3
1395,2231,26,2
1396,2231,6,2
1397,2231,85,-3
1398,2231,19,2
1399,2232,26,1
1400,2232,6,3
1401,2232,85,-3
1402,2233,26,2
1403,2233,6,2
1404,2233,85,-3
1405,2233,19,3
1406,2234,26,3
1407,2234,6,1
1408,2234,85,-3
1409,2235,26,3
1410,2235,6,2
1411,2235,85,-3
1412,2236,26,2
1413,2236,6,2
1414,2236,85,-3
1415,2236,57,2
1416,2237,26,1
1417,2237,6,3
1418,2237,85,-3
1419,2238,26,2
1420,2238,6,2
1421,2238,85,-3
1422,2238,57,3
1423,2239,26,3
1424,2239,6,1
1425,2239,85,-3
1426,2240,31,3
1427,2240,79,1
1428,2240,93,-2
1429,2241,31,2
1430,2241,79,2
1431,2241,93,-2
1432,2242,31,5
1433,2242,79,2
1434,2242,93,-2
1435,2243,31,2
1436,2243,79,1
1437,2243,93,-2
1438,2244,31,3
1439,2244,79,1
1440,2244,93,-2
1441,2245,31,4
1442,2245,79,2
1443,2245,93,-2
1444,2246,31,2
1445,2246,79,1
1446,2246,93,-2
1447,2247,31,4
1448,2247,79,2
1449,2247,93,-2
1450,2248,31,2
1451,2248,79,1
1452,2248,93,-2
1453,2249,31,3
1454,2249,79,1
