_id,parent_id,wtype,creation_cost,upgrade_cost,attack,max_attack,element,element_attack,element_2,element_2_attack,awaken,awaken_attack,defense,sharpness,affinity,horn_notes,shelling_type,phial,charges,coatings,recoil,reload_speed,rapid_fire,deviation,ammo,special_ammo,num_slots,tree_depth,final
5037,5036,Great Sword,,90000,1056,,Dragon,320,,,,,0,11.6.18.13.10.4.0 11.6.18.13.10.9.2,65,,,,,,,,,,,,1,8,0
5038,5037,Great Sword,,130000,1152,,Dragon,400,,,,,0,16.11.11.8.5.11.0 16.11.11.8.5.12.6,65,,,,,,,,,,,,1,9,1
5039,5032,Great Sword,,8900,672,,Thunder,120,,,,,0,10.6.8.14.0.0.0 10.6.8.22.0.0.0,,,,,,,,,,,,,1,4,0
5040,5039,Great Sword,45000,30000,768,,Thunder,220,,,,,0,25.3.13.8.5.0.0 25.3.13.8.11.2.0,,,,,,,,,,,,,1,5,0
5041,5040,Great Sword,,55000,816,,Dragon,440,,,,,0,13.6.18.11.6.0.0 13.6.18.11.9.5.0,,,,,,,,,,,,,2,6,0
5042,5041,Great Sword,,95000,1152,,Dragon,490,,,,,0,11.9.6.21.12.3.0 11.9.6.21.12.8.2,,,,,,,,,,,,,2,7,0
5043,5042,Great Sword,,120000,1296,,Dragon,550,,,,,0,24.2.3.22.3.8.0 24.2.3.22.3.9.6,,,,,,,,,,,,,3,8,1
5044,5040,Great Sword,,70000,864,,Thunder,240,,,,,0,30.2.3.11.0.0.0 30.2.3.17.2.0.0,20,,,,,,,,,,,,2,6,0
5045,5044,Great Sword,,85000,912,,Thunder,260,,,,,0,28.4.10.12.0.0.0 28.4.10.12.6.2.0,25,,,,,,,,,,,,2,7,0
5046,5045,Great Sword,,90000,1296,,Thunder,300,,,,,0,5.9.24.12.10.2.0 5.9.24.12.10.7.2,30,,,,,,,,,,,,2,8,0
5047,5046,Great Sword,,120000,1344,,Thunder,350,,,,,0,12.5.5.24.16.0.0 12.5.5.24.16.4.3,30,,,,,,,,,,,,2,9,1
5048,5040,Great Sword,,90000,1104,,Thunder,400,,,,,0,13.6.8.25.6.4.0 13.6.8.25.6.11.0,,,,,,,,,,,,,2,6,0
5049,5048,Great Sword,,120000,1248,,Thunder,500,,,,,0,16.6.10.11.14.5.0 16.6.10.11.14.9.3,,,,,,,,,,,,,3,7,1
5050,5031,Great Sword,2625,1750,480,,Water,230,,,,,0,5.9.12.4.0.0.0 5.9.12.12.0.0.0,,,,,,,,,,,,,0,3,0
5051,5050,Great Sword,,3100,528,,Water,300,,,,,0,8.8.17.5.0.0.0 8.8.17.13.0.0.0,,,,,,,,,,,,,0,4,0
5052,5051,Great Sword,,20000,720,,Water,340,,,,,0,6.11.13.16.0.0.0 6.11.13.16.8.0.0,,,,,,,,,,,,,1,5,0
5053,5052,Great Sword,,35000,816,,Water,480,,,,,0,4.9.25.13.3.0.0 4.9.25.13.11.0.0,,,,,,,,,,,,,1,6,0
5054,5053,Great Sword,,100000,1200,,Water,600,,,,,0,8.4.20.15.15.0.0 8.4.20.15.17.5.0,,,,,,,,,,,,,1,7,1
5055,0,Great Sword,975,,384,,,,,,,,0,12.18.0.0.0.0.0 12.18.8.0.0.0.0,,,,,,,,,,,,,0,0,0
5056,5055,Great Sword,,850,432,,,,,,,,0,16.12.2.0.0.0.0 16.12.10.0.0.0.0,,,,,,,,,,,,,0,1,0
5057,5056,Great Sword,,1100,480,,,,,,,,0,22.4.4.0.0.0.0 22.4.12.0.0.0.0,,,,,,,,,,,,,0,2,0
5058,5057,Great Sword,1750,,528,,,,,,,,0,4.4.22.0.0.0.0 4.4.26.4.0.0.0,,,,,,,,,,,,,0,3,0
5059,5058,Great Sword,,2150,576,,,,,,,,0,2.8.26.2.0.0.0 2.8.26.10.0.0.0,,,,,,,,,,,,,0,4,0
5060,5059,Great Sword,13350,8900,672,,,,,,,,0,4.10.11.3.2.0.0 4.10.11.3.10.0.0,-15,,,,,,,,,,,,0,5,0
5061,5060,Great Sword,,30000,864,,,,,,,,0,16.2.6.2.4.0.0 16.2.6.2.12.0.0,-10,,,,,,,,,,,,1,6,0
5062,5061,Great Sword,,40000,912,,,,,,Blastblight,250,0,18.3.6.15.4.0.0 18.3.6.15.12.0.0,-5,,,,,,,,,,,,1,7,0
5063,5062,Great Sword,,70000,960,,,,,,Blastblight,300,0,5.25.5.3.8.0.0 5.25.5.3.16.0.0,10,,,,,,,,,,,,2,8,0
5064,5063,Great Sword,,95000,1296,,,,,,Blastblight,330,0,16.10.13.6.7.2.0 16.10.13.6.7.10.0,15,,,,,,,,,,,,2,9,0
5065,5064,Great Sword,,130000,1440,,,,,,Blastblight,400,0,12.9.6.21.12.2.0 12.9.6.21.12.7.2,25,,,,,,,,,,,,2,10,1
5066,5060,Great Sword,,16000,720,,Blastblight,180,,,,,0,6.6.20.14.0.0.0 6.6.20.16.6.0.0,,,,,,,,,,,,,0,6,0
5067,5066,Great Sword,,30000,768,,Blastblight,230,,,,,0,18.4.6.14.4.0.0 18.4.6.14.12.0.0,,,,,,,,,,,,,0,7,0
5068,5067,Great Sword,,55000,864,,Blastblight,280,,,,,0,10.5.6.25.8.0.0 10.5.6.25.16.0.0,,,,,,,,,,,,,1,8,0
5069,5068,Great Sword,,95000,1200,,Blastblight,350,,,,,0,13.6.17.16.8.2.0 13.6.17.16.8.6.3,,,,,,,,,,,,,1,9,0
5070,5069,Great Sword,,130000,1296,,Blastblight,400,,,,,0,16.14.10.6.12.4.0 16.14.10.6.12.8.3,,,,,,,,,,,,,1,10,1
5071,5060,Great Sword,45000,30000,912,,,,,,,,0,17.15.7.7.0.0.0 17.15.7.9.6.0.0,-10,,,,,,,,,,,,1,6,0
5072,5071,Great Sword,,90000,1248,,,,,,,,0,24.8.4.14.4.0.0 24.8.4.14.6.6.0,-10,,,,,,,,,,,,1,7,0
5073,5072,Great Sword,,110000,1440,,,,,,,,0,16.10.12.6.8.2.0 16.10.12.6.8.10.0,-5,,,,,,,,,,,,1,8,1
5074,5071,Great Sword,,95000,1392,,,,,,,,0,6.6.14.26.2.0.0 6.6.14.26.8.2.0,-10,,,,,,,,,,,,1,7,0
5075,5074,Great Sword,,120000,1536,,,,,,,,0,20.4.14.22.2.0.0 20.4.14.22.4.1.4,-20,,,,,,,,,,,,1,8,1
5076,5058,Great Sword,5475,3650,576,,Poison,150,,,,,0,10.6.19.3.0.0.0 10.6.19.11.0.0.0,,,,,,,,,,,,,0,4,0
5077,5076,Great Sword,,7150,672,,Poison,180,,,,,0,8.8.18.4.0.0.0 8.8.18.12.0.0.0,,,,,,,,,,,,,0,5,0
5078,5077,Great Sword,,25000,816,,Poison,200,,,,,0,10.5.15.14.2.0.0 10.5.15.14.10.0.0,5,,,,,,,,,,,,1,6,0
5079,5078,Great Sword,,45000,864,,Poison,360,,,,,0,12.6.17.16.3.0.0 12.6.17.16.9.2.0,5,,,,,,,,,,,,2,7,0
5080,5079,Great Sword,,70000,1152,,Poison,400,,,,,0,25.5.9.7.5.3.0 25.5.9.7.5.11.0,10,,,,,,,,,,,,2,8,0
5081,5080,Great Sword,,100000,1296,,Poison,450,,,,,0,16.6.10.12.13.5.0 16.6.10.12.13.9.3,10,,,,,,,,,,,,2,9,1
5082,5078,Great Sword,82500,55000,864,,,,,,Fire,480,0,4.11.25.11.1.2.0 4.11.25.11.1.10.0,10,,,,,,,,,,,,2,7,0
5083,5082,Great Sword,,90000,1296,,,,,,Fire,500,0,12.5.19.14.8.4.0 12.5.19.14.8.9.2,15,,,,,,,,,,,,2,8,0
5084,5083,Great Sword,,120000,1344,,,,,,Fire,530,0,13.18.11.6.4.10.0 13.18.11.6.4.14.3,20,,,,,,,,,,,,2,9,1
5085,5076,Great Sword,,8900,672,,Fire,150,,,,,0,10.11.17.8.0.0.0 10.11.17.13.3.0.0,,,,,,,,,,,,,0,5,0
5086,5085,Great Sword,,20000,720,,Fire,200,,,,,0,14.12.12.6.2.0.0 14.12.12.6.8.2.0,,,,,,,,,,,,,0,6,0
5087,5086,Great Sword,,30000,768,,Fire,420,,,,,0,27.3.10.11.3.0.0 27.3.10.11.7.4.0,,,,,,,,,,,,,0,7,0
5088,5087,Great Sword,,55000,912,,Fire,500,,,,,0,16.16.8.9.5.0.0 16.16.8.9.8.5.0,,,,,,,,,,,,,0,8,0
5089,5088,Great Sword,,120000,1200,,Fire,550,,,,,0,11.7.18.14.9.3.0 11.7.18.14.9.8.2,,,,,,,,,,,,,1,9,0
5090,5089,Great Sword,,130000,1296,,Fire,620,,,,,0,14.10.13.9.11.5.0 14.10.13.9.11.7.5,,,,,,,,,,,,,1,10,1
5091,5087,Great Sword,97500,65000,816,,Fire,320,,,,,0,12.6.17.16.3.0.0 12.6.17.16.9.2.0,,,,,,,,,,,,,2,8,0
5092,5091,Great Sword,,90000,1104,,Fire,370,,,,,0,16.8.20.10.6.2.0 16.8.20.10.6.9.0,,,,,,,,,,,,,3,9,0
5093,5092,Great Sword,,120000,1200,,Fire,420,,,,,0,7.19.12.12.2.10.0 7.19.12.12.2.17.0,,,,,,,,,,,,,3,10,0
5094,5057,Great Sword,3225,2150,480,,Water,250,,,,,0,12.15.9.2.0.0.0 12.15.9.10.0.0.0,,,,,,,,,,,,,0,3,0
5095,5094,Great Sword,,7150,576,,Water,420,,,,,0,5.10.12.19.0.0.0 5.10.12.19.8.0.0,,,,,,,,,,,,,2,4,0
5096,5095,Great Sword,,20000,624,,Water,540,,,,,0,18.3.7.14.4.0.0 18.3.7.14.12.0.0,,,,,,,,,,,,,2,5,0
5097,5096,Great Sword,,35000,720,,Water,680,,,,,0,7.5.20.16.6.0.0 7.5.20.16.12.2.0,,,,,,,,,,,,,2,6,0
5098,5097,Great Sword,,60000,960,,Water,730,,,,,0,16.5.11.10.12.0.0 16.5.11.10.14.6.0,,,,,,,,,,,,,3,7,0
5099,5098,Great Sword,,85000,1056,,Water,800,,,,,0,13.7.8.24.6.4.0 13.7.8.24.6.11.0,,,,,,,,,,,,,3,8,1
5100,5097,Great Sword,90000,60000,912,,Fire,730,,,,,0,12.18.11.6.5.2.0 12.18.11.6.5.10.0,,,,,,,,,,,,,3,7,0
5101,5100,Great Sword,,85000,1008,,Fire,800,,,,,0,24.7.7.8.10.6.0 24.7.7.8.10.13.0,,,,,,,,,,,,,3,8,1
5102,5094,Great Sword,,2150,528,,,,,,,,0,10.4.7.17.0.0.0 10.4.7.25.0.0.0,10,,,,,,,,,,,,0,4,0
5103,5102,Great Sword,,6350,576,,,,,,,,0,10.5.6.24.9.0.0 10.5.6.24.17.0.0,15,,,,,,,,,,,,1,5,0
5104,5103,Great Sword,,20000,624,,,,,,Sleep,300,0,1.3.9.25.4.4.0 1.3.9.25.4.12.0,30,,,,,,,,,,,,1,6,0
5105,5104,Great Sword,,45000,672,,,,,,Sleep,350,0,1.3.9.25.4.12.0 1.3.9.25.4.20.0,35,,,,,,,,,,,,2,7,0
5106,5105,Great Sword,105000,70000,960,,,,,,Sleep,370,0,5.10.11.3.15.18.0 5.10.11.3.15.23.2,35,,,,,,,,,,,,2,8,0
5107,5106,Great Sword,,90000,1008,,,,,,Sleep,400,0,3.3.8.25.5.18.0 3.3.8.25.5.19.6,40,,,,,,,,,,,,2,9,0
5108,5107,Great Sword,,110000,1104,,,,,,Sleep,450,0,3.3.8.25.5.18.0 3.3.8.25.5.19.6,40,,,,,,,,,,,,2,10,1
5109,0,Great Sword,2100,,480,,,,,,,,0,13.11.6.0.0.0.0 13.11.12.2.0.0.0,,,,,,,,,,,,,1,0,0
5110,5109,Great Sword,,2100,528,,,,,,,,0,11.11.6.2.0.0.0 11.11.6.10.0.0.0,,,,,,,,,,,,,1,1,0
5111,5110,Great Sword,,6350,576,,Poison,450,,,,,0,8.6.20.12.0.0.0 8.6.20.16.4.0.0,,,,,,,,,,,,,1,2,0
5112,5111,Great Sword,37500,25000,672,,Poison,550,,,,,0,8.5.15.16.2.0.0 8.5.15.16.10.0.0,,,,,,,,,,,,,1,3,0
5113,5112,Great Sword,,40000,720,,Poison,700,,,,,0,4.4.26.18.2.0.0 4.4.26.18.10.0.0,,,,,,,,,,,,,1,4,0
5114,5113,Great Sword,,80000,1056,,Poison,800,,,,,0,8.4.20.16.14.0.0 8.4.20.16.16.5.0,,,,,,,,,,,,,1,5,1
5115,5109,Great Sword,2625,1750,528,,Fire,180,,,,,0,6.8.14.2.0.0.0 6.8.14.10.0.0.0,,,,,,,,,,,,,2,1,0
5116,5115,Great Sword,,3100,576,,Fire,220,,,,,0,10.10.6.4.0.0.0 10.10.6.12.0.0.0,,,,,,,,,,,,,2,2,0
5117,5116,Great Sword,,6350,672,,,,,,,,0,14.14.12.6.0.0.0 14.14.12.6.8.0.0,5,,,,,,,,,,,,3,3,0
5118,5117,Great Sword,,30000,768,,,,,,Poison,450,0,13.6.17.12.6.0.0 13.6.17.12.9.5.0,10,,,,,,,,,,,,3,4,0
5119,5118,Great Sword,,55000,816,,,,,,Poison,600,0,3.5.27.13.6.0.0 3.5.27.13.6.8.0,15,,,,,,,,,,,,3,5,0
5120,5119,Great Sword,,60000,1152,,,,,,Poison,620,0,25.5.9.7.5.3.0 25.5.9.7.5.11.0,20,,,,,,,,,,,,3,6,0
5121,5120,Great Sword,,100000,1248,,,,,,Poison,650,0,14.11.11.10.10.6.0 14.11.11.10.10.9.4,25,,,,,,,,,,,,3,7,0
5122,5116,Great Sword,12000,8000,576,,,,,,,,0,30.2.3.17.2.0.0 30.2.3.17.8.2.0,35,,,,,,,,,,,,2,3,0
5123,5122,Great Sword,,45000,768,,,,,,Paralysis,300,0,28.4.9.13.6.2.0 28.4.9.13.6.9.0,45,,,,,,,,,,,,2,4,0
5124,5123,Great Sword,,90000,1056,,,,,,Paralysis,340,0,19.15.8.9.5.6.0 19.15.8.9.5.11.2,45,,,,,,,,,,,,2,5,0
5125,5124,Great Sword,,130000,1152,,,,,,Paralysis,390,0,18.16.8.9.5.11.2 18.16.8.9.5.11.2,50,,,,,,,,,,,,2,6,0
5126,0,Great Sword,5475,,576,,Water,150,,,,,0,10.10.6.4.0.0.0 10.10.6.12.0.0.0,,,,,,,,,,,,,0,0,0
5127,5126,Great Sword,,16000,672,,Water,220,,,,,0,17.4.6.11.0.0.0 17.4.6.14.5.0.0,,,,,,,,,,,,,0,1,0
5128,5127,Great Sword,,30000,768,,Water,250,,,,,0,19.16.8.8.3.0.0 19.16.8.8.6.5.0,,,,,,,,,,,,,0,2,0
5129,5128,Great Sword,,45000,864,,Water,320,,,,,0,16.17.8.10.3.0.0 16.17.8.10.4.7.0,,,,,,,,,,,,,1,3,0
5130,5129,Great Sword,105000,70000,1152,,Water,380,,,,,0,16.7.20.11.6.2.0 16.7.20.11.6.9.0,,,,,,,,,,,,,2,4,0
5131,5130,Great Sword,,100000,1296,,Water,450,,,,,0,7.5.14.26.8.2.0 7.5.14.26.8.6.3,,,,,,,,,,,,,2,5,0
5132,0,Great Sword,4650,,480,,Ice,350,,,,,0,8.6.8.8.0.0.0 8.6.8.16.0.0.0,,,,,,,,,,,,,0,0,0
5133,5132,Great Sword,,25000,672,,Ice,500,,,,,0,30.2.3.11.0.0.0 30.2.3.17.2.0.0,,,,,,,,,,,,,0,1,0
5134,5133,Great Sword,,85000,960,,Ice,750,,,,,0,19.3.6.14.12.0.0 19.3.6.14.14.6.0,,,,,,,,,,,,,0,2,0
5135,0,Great Sword,30000,,624,,Thunder,500,,,,,15,16.2.6.2.4.0.0 16.2.6.2.12.0.0,,,,,,,,,,,,,1,0,0
5136,5135,Great Sword,,70000,768,,Thunder,620,,,,,25,16.2.6.2.20.0.0 16.2.6.2.28.0.0,,,,,,,,,,,,,2,1,0
5137,5136,Great Sword,,120000,1152,,Thunder,860,,,,,35,5.11.10.4.15.17.0 5.11.10.4.15.22.2,,,,,,,,,,,,,2,2,0
5138,0,Great Sword,30000,,816,,,,,,,,20,5.9.24.12.4.0.0 5.9.24.12.12.0.0,,,,,,,,,,,,,1,0,0
5139,5138,Great Sword,,60000,1056,,,,,,,,30,28.3.9.10.4.0.0 28.3.9.10.8.4.0,,,,,,,,,,,,,1,1,0
5140,5139,Great Sword,,70000,1200,,,,,,Ice,260,45,13.18.11.6.4.2.0 13.18.11.6.4.10.0,,,,,,,,,,,,,1,2,0
5141,5140,Great Sword,,110000,1296,,,,,,Ice,350,60,8.11.12.15.12.4.0 8.11.12.15.12.8.3,,,,,,,,,,,,,1,3,0
5142,0,Great Sword,30000,,672,,,,,,Blastblight,150,0,6.6.20.14.0.0.0 6.6.20.16.6.0.0,,,,,,,,,,,,,1,0,0
5143,5142,Great Sword,,40000,768,,,,,,Blastblight,250,0,7.5.20.16.6.0.0 7.5.20.16.12.2.0,,,,,,,,,,,,,3,1,0
5144,5143,Great Sword,,60000,1008,,,,,,Blastblight,460,0,10.7.17.14.6.0.0 10.7.17.14.9.5.0,,,,,,,,,,,,,3,2,0
5145,5144,Great Sword,,85000,1152,,,,,,Blastblight,620,0,16.7.20.11.6.2.0 16.7.20.11.6.9.0,,,,,,,,,,,,,3,3,0
5146,0,Great Sword,66666,,816,,Dragon,50,,,,,0,10.5.15.14.2.0.0 10.5.15.14.10.0.0,-5,,,,,,,,,,,,0,0,0
5147,5146,Great Sword,,70000,864,,Dragon,90,,,,,0,14.7.11.11.3.0.0 14.7.11.11.11.0.0,-5,,,,,,,,,,,,1,1,0
5148,5147,Great Sword,,85000,912,,Dragon,130,,,,,0,25.3.13.8.5.0.0 25.3.13.8.11.2.0,,,,,,,,,,,,,1,2,0
5149,5148,Great Sword,,120000,1392,,Dragon,200,,,,,0,16.13.11.6.12.4.0 16.13.11.6.12.8.3,,,,,,,,,,,,,1,3,0
5150,0,Great Sword,39999,,864,,,,,,,,0,31.18.6.8.2.4.0 31.18.6.8.2.4.0,10,,,,,,,,,,,,1,0,0
5151,5150,Great Sword,,60000,960,,,,,,,,0,31.18.6.7.3.4.0 31.18.6.7.3.4.0,10,,,,,,,,,,,,1,1,0
5152,5151,Great Sword,,90000,1248,,,,,,,,0,31.18.6.7.3.2.2 31.18.6.7.3.2.2,20,,,,,,,,,,,,1,2,0
5153,5152,Great Sword,,130000,1392,,,,,,,,0,31.18.6.5.3.4.2 31.18.6.5.3.4.2,20,,,,,,,,,,,,1,3,0
5154,0,Great Sword,75000,,912,,,,,,Paralysis,120,20,10.5.15.14.2.0.0 10.5.15.14.10.0.0,-20,,,,,,,,,,,,1,0,0
5155,5154,Great Sword,,90000,1008,,,,,,Paralysis,240,25,8.5.15.16.2.0.0 8.5.15.16.10.0.0,-10,,,,,,,,,,,,2,1,0
5156,5155,Great Sword,,100000,1344,,,,,,Paralysis,290,30,18.15.7.10.4.0.0 18.15.7.10.8.4.0,-10,,,,,,,,,,,,3,2,0
5157,5156,Great Sword,,120000,1440,,,,,,Paralysis,320,40,17.7.19.11.6.2.0 17.7.19.11.6.9.0,-10,,,,,,,,,,,,3,3,0
5158,5157,Great Sword,,130000,1488,,,,,,Paralysis,360,45,13.8.7.24.6.4.0 13.8.7.24.6.11.0,-10,,,,,,,,,,,,3,4,0
5159,0,Great Sword,75000,,672,,Ice,600,,,,,40,1.3.9.25.5.11.0 1.3.9.25.5.19.0,,,,,,,,,,,,,2,0,0
5160,5159,Great Sword,,90000,960,,Ice,700,,,,,42,5.11.10.4.15.17.0 5.11.10.4.15.22.2,,,,,,,,,,,,,2,1,0
5161,5160,Great Sword,,120000,1104,,Ice,800,,,,,46,3.3.8.25.4.19.0 3.3.8.25.4.20.6,,,,,,,,,,,,,2,2,0
5162,0,Great Sword,99999,,1104,,,,,,,,0,7.11.12.0.0.0.0 7.11.12.8.0.0.0,30,,,,,,,,,,,,1,0,0
5163,5162,Great Sword,,130000,1632,,,,,,,,0,10.4.15.9.0.0.0 10.4.15.15.2.0.0,40,,,,,,,,,,,,1,1,0
5164,0,Great Sword,39999,,1248,,Ice,100,,,,,10,28.3.9.6.0.0.0 28.3.9.11.3.0.0,-30,,,,,,,,,,,,0,0,0
5165,5164,Great Sword,,120000,1728,,Ice,120,,,,,20,28.3.9.10.4.0.0 28.3.9.10.8.4.0,-30,,,,,,,,,,,,0,1,0
5166,0,Great Sword,105000,,864,,Dragon,300,,,,,0,10.11.17.13.3.0.0 10.11.17.13.6.2.3,,,,,,,,,,,,,0,0,0
5167,5166,Great Sword,,166666,1488,,Dragon,430,,,,,0,11.11.17.20.3.0.0 11.11.17.20.3.3.4,,,,,,,,,,,,,1,1,0
5168,0,Great Sword,120000,,1488,,Dragon,120,,,,,0,12.16.8.12.7.7.0 12.16.8.12.7.11.3,-45/20,,,,,,,,,,,,2,0,0
5169,0,Great Sword,120000,,1392,,Poison,660,,,,,0,10.6.8.18.14.6.0 10.6.8.18.14.11.2,,,,,,,,,,,,,3,0,0
5170,0,Great Sword,129999,,1488,,Ice,250,,,,,0,12.9.9.7.27.3.2 12.9.9.7.27.3.2,-50,,,,,,,,,,,,0,0,0
5171,0,Great Sword,120000,,1344,,Sleep,130,,,,,0,13.6.8.25.6.11.0 13.6.8.25.6.11.0,-10,,,,,,,,,,,,1,0,0
5172,5171,Great Sword,,130000,1440,,Sleep,180,,,,,0,18.19.3.3.13.11.2 18.19.3.3.13.11.2,-20,,,,,,,,,,,,1,1,0
5173,0,Great Sword,166665,,1200,,Fire,1000,,,,,0,31.15.9.3.2.2.0 31.15.9.3.2.3.6,20,,,,,,,,,,,,0,0,0
5174,0,Great Sword,165000,,1296,,Dragon,750,,,,,0,31.15.9.3.2.2.0 31.15.9.3.2.3.6,,,,,,,,,,,,,0,0,0
5175,0,Great Sword,0,,240,,,,,,,,0,19.11.0.0.0.0.0 19.16.3.0.0.0.0,,,,,,,,,,,,,0,0,0
5176,5175,Great Sword,,5000,288,,,,,,,,0,11.16.3.0.0.0.0 11.16.9.2.0.0.0,,,,,,,,,,,,,0,1,0
