_id,name,name_de,name_fr,name_es,name_it,name_jp,type,sub_type,rarity,carry_capacity,buy,sell,description,icon_name,armor_dupe_name_fix
19,Armorskin,Panzerhaut,Potion de pierre,Piel de armadura,Mistura ferrosa,硬化薬,Consumable,,4,5,,58,Boosts your Defense by turning your skin as hard as rock.,Liquid-Orange.png,
20,Mega Armorskin,Mega-Panzerhaut,Potion de pierre +,Megapiel armadura,Mistura ferrosa+,硬化薬グレート,Consumable,,5,5,,269,Boosts your Defense even more than a regular Armorskin.,Liquid-Orange.png,
21,Adamant Pill,Diamantpille,Philtre de métal,Píldora armadura,Pillola ferrosa,忍耐の丸薬,Consumable,,1,5,,260,Temporarily makes your skin as hard as adamant. Potent!,Sac-Orange.png,
22,Cool Drink,Kaltgetränk,Boisson fraîche,Bebida fría,Bevanda fresca,クーラードリンク,Consumable,,1,5,,30,Provides temporary relief from extreme heat.,Liquid-White.png,
23,Hot Drink,Heißgetränk,Boisson chaude,Bebida caliente,Bevanda calda,ホットドリンク,Consumable,,1,5,,25,Provides temporary relief from extreme cold.,Liquid-Red.png,
24,Cleanser,Reiniger,Nettoyant,Limpiador,Pulitore,消散剤,Consumable,,2,10,,14,Immediately removes any ice or mud on your body. Clean as a whistle!,Liquid-Cyan.png,
25,Deodorant,Deodorant,Déodorant,Desodorante,Deodorante,消臭玉,Consumable,,2,10,,8,An item that cures Stench. Releases a puff of deoderizing smoke when thrown down.,Smoke-Blue.png,
26,Psychoserum,Psychoserum,Sérum psychique,Psicosuero,Psicosiero,千里眼の薬,Consumable,,3,10,,30,Temporarily sharpens your sixth sense and attunes you to the ways of monsters.,Liquid-Orange.png,
27,Herbal Medicine,Kräutermedizin,Remède d'herbe,Medicina herbal,Rimedio erboristico,漢方薬,Consumable,,2,10,,25,Removes all traces of poison and restores a slight amount of Health.,Sac-White.png,
28,Max Potion,Maxi-Trank,Potion secrète,Poción máxima,Pozione max,秘薬,Consumable,,3,2,,210,Fully restores Health and increases your maximum Health level all the way.,Sac-Yellow.png,
29,Ancient Potion,Uralter Trank,Potion ancestrale,Poción antigua,Antica pozione,いにしえの秘薬,Consumable,,5,1,,345,"Fully restores Health and Stamina, and raises the max levels of both all the way,",Sac-Red.png,
30,Catalyst,Katalysator,Catalyseur,Catalizador,Catalizzatore,増強剤,Tool,,2,5,,48,Works with other materials to enhance their effects. Cannot be used by itself.,Sac-Grey.png,
31,Energy Drink,Energy-Drink,Boisson énergétique,Bebida energética,Bevanda energetica,元気ドリンコ,Consumable,,2,10,,6,This bottle is all you'll need to wake up! Shakes off sleep and restores Stamina.,Liquid-Yellow.png,
32,Gunpowder,Schießpulver,Poudre à canon,Pólvora,Polvere da sparo,爆薬,Tool,,2,20,,45,A dangerous substance that explodes when struck or heated.,Sac-Red.png,
33,Lifecrystals,Lebenskristalle,Cristaux de vie,Cristales vida,Cristalli vitali,生命の粉,Tool,,3,3,,59,Mysterious crystals long worshipped as a source of life.,Sac-White.png,
34,Lifepowder,Lebenspulver,Poudre de vie,Polvo de vida,Polvere di vita,生命の粉塵,Consumable,,4,3,,315,A Lifecrystal combination used as medicine. Heals with a single touch.,Sac-White.png,
35,Dust of Life,Lebensstaub,Poussière de vie,Fuente de vida,Linfa vitale,生命の大粉塵,Consumable,,5,2,,100,"A medicine with strone curative properties. Studied in secret, it is said to restore youth.",Sac-Teal.png,
36,Disposable Earplugs,Einweg-Ohrstöpsel,Protège-tympans X,Tapones desechables,Tappi monouso,応急耳栓,Consumable,,5,3,,40,,Sac-Pink.png,
37,Tranquilizer,Betäubungsmittel,Tranquillisant,Tranquilizante,Tranquillante,捕獲用麻酔薬,Tool,,4,10,,15,Medicine that works as an anesthetic when Combined.,Liquid-Red.png,
38,Mystery Charm,Rätselamulett,Charme étrange,Amuleto misterioso,Amuleto misterioso,なぞのお守り,Ore,,4,10,,,A modest good-luck charm. What does it do? Finish the Quest and you'll find out.,Charm-Stone-Grey.png,
39,Shining Charm,Glänzendes Amulett,Charme brillant,Amuleto brillante,Amuleto lucente,光るお守り,Ore,,5,10,,,A curious good-luck charm. What does it do? Finish the Quest and you'll find out.,Charm-Stone-Yellow.png,
40,Timeworn Charm,Altes Amulett,Charme ancien,Amuleto gastado,Amuleto consunto,古びたお守り,Ore,,6,10,,,A powerful good-luck charm. What does it do? Finish the Quest and you'll find out.,Charm-Stone-Red.png,
41,Enduring Charm,Beständiges Amulett,Charme oublié,Amuleto eterno,Amuleto antico,風化したお守り,Ore,,7,,,,,Charm-Stone-Blue.png,
42,Distorted Charm,Zerr-Amulett,Charme déformé,Amuleto deforme,Amuleto distorto,歪んだお守り,Ore,,6,10,,,,Charm-Stone-Orange.png,
43,Graven Charm,Geschnitztes Amulett,Charme sculpté,Amuleto esculpido,Amuleto inciso,刻まれたお守り,Ore,,7,,,,,Charm-Stone-Green.png,
44,Powercharm,Kraftamulett,Talisman de force,Amuleto de poder,Amuleto demoniaco,力の護符,Tool,,5,1,,3600,An amulet that raises Attack. Just carrying this gives you demonic strength.,Sac-Red.png,
45,Powertalon,Kraftkralle,Griffe de force,Garra de poder,Sperone demoniaco,力の爪,Tool,,5,1,,6840,A powerful amulet that raises Attack. Made with a Deviljho Talon.,Fang-Red.png,
46,Armorcharm,Panzeramulett,Talisman de défense,Amuleto armadura,Amuleto armatura,守りの護符,Tool,,5,1,,2400,An amulet that raises Defense. Just carrying this hardens your skin like rock.,Sac-Orange.png,
47,Armortalon,Panzerkralle,Griffe de défense,Garra armadura,Sperone armatura,守りの爪,Tool,,5,1,,5040,A powerful amulet that raises Defense. Made with a Deviljho Talon.,Fang-Orange.png,
48,Raw Meat,Rohes Fleisch,Viande crue,Carne cruda,Carne cruda,生肉,Meat,,1,10,,5,"Meat carved from a monster. Can be cooked, combined, or use to set a trap.",Meat-Red.png,
49,Poisoned Meat,Giftfleisch,Viande poison,Carne envenenada,Carne avvelenata,毒生肉,Meat,,1,10,,19,Raw Meat that poisons whatever eats it. Makes great bait for traps.,Meat-Purple.png,
50,Tinged Meat,Faules Fleisch,Viande paralysante,Carne tóxica,Carne tossica,シビレ生肉,Meat,,2,10,,30,Raw Meat that paralyzes whatever eats it. Makes great bait for traps.,Meat-Yellow.png,
51,Drugged Meat,Rauschfleisch,Viande somnifère,Carne drogada,Carne drogata,眠り生肉,Meat,,1,10,,32,Raw Meat that puts whatever eats it to sleep. Makes great bait for traps.,Meat-Blue.png,
52,Rare Steak,Blutiges Steak,Steak saignant,Filete poco hecho,Bistecca al sangue,生焼け肉,Meat,,1,10,,3,Provides a small boost to your Stamina. This one's still red in the middle,Meat-Orange.png,
53,Well-done Steak,Gebratenes Steak,Steak à point,Filete al punto,Bistecca ben cotta,こんがり肉,Meat,,2,10,,48,Provides a moderate boost to your Stamina. Meat done right!,Meat-Orange.png,
54,Burnt Meat,Verkohltes Fleisch,Viande brûlée,Carne quemada,Carne bruciata,コゲ肉,Meat,,1,10,,1,"Meat that has been burnt to a crisp. It might boost your Stamina, or it might drain it ..",Meat-Grey.png,
55,Chilled Meat,Gekühltes Fleisch,Viande froide,Carne fría,Carne fredda,クーラーミート,Meat,,1,10,,30,"Meat that cools the body, wards off heat, and boosts a moderate amount of Stamina.",Meat-Blue.png,
56,Hot Meat,Warmes Fleisch,Viande chaude,Carne caliente,Carne calda,ホットミート,Meat,,1,10,,25,"Meat that warms the body, wards off the cold, and boosts a moderate amount of Stamina.",Meat-Red.png,
57,Mosswine Jerky,Mosswine-Dörrfleisch,Viande Mosswine,Cecina Mosswine,Fettine di Moss,モスジャーキー,Meat,,2,5,,10,,Meat-Pink.png,
58,Boomerang,Bumerang,Boomerang,Bumerán,Boomerang,ブーメラン,Tool,,4,5,,15,An usually-shaped weapon from abroad that returns to its user when thrown.,Boomerang-White.png,
59,Throwing Knife,Wurfmesser,Couteau de lancer,Cuchillo arrojadizo,Coltello da lancio,投げナイフ,Tool,,1,5,,,A standard throwing knife. Flies straight and true.,Knife-White.png,
60,Poison Knife,Giftmesser,Couteau poison,Cuchillo envenenado,Coltello veleno,毒投げナイフ,Tool,,1,5,,,A throwing knife with a venom-coated blade. Poisons targets.,Knife-Purple.png,
61,Sleep Knife,Schlafmesser,Couteau somnifère,Cuchillo somnífero,Coltello sonno,眠り投げナイフ,Tool,,1,5,,,A throwing knife whose blade has been dusted with sleeping agents.,Knife-Cyan.png,
62,Paralysis Knife,Lähmungsmesser,Couteau paralysant,Cuchillo paralizante,Coltello paralisi,麻痺投げナイフ,Tool,,1,5,,,A throwing knife coated with toxins that paralyze a target.,Knife-Yellow.png,
63,Tranq Knife,Beruhigungsmesser,Dague tranquillisante,Cuch. tranquilizante,Lama soporifera,捕獲用麻酔ナイフ,Tool,,4,5,,,A throwing knife used for capturing monsters ensnared in traps.,Knife-Red.png,
64,Bomb Casing,Bombengehäuse,Gaine bombe,Material bombas,Materiale bomba,素材玉,Tool,,1,30,,15,A base material for making hand-thrown bombs.,Bomb-White.png,
65,Paintball,Farbball,Marqueur,Bola de pintura,Palla-pittura,ペイントボール,Tool,,1,99,,10,"Toss this scented paint at a monster to mark it, allowing you to track its position.",Bomb-Pink.png,
66,Flash Bomb,Blitzbombe,Bombe flash,Bomba de luz,Bomba-lampo,閃光玉,Tool,,2,5,,57,Flashes brightly on impact. Toss this right under a monster's nose to blind it.,Bomb-Yellow.png,
67,Sonic Bomb,Schallbombe,Bombe sonique,Bomba sónica,Bomba sonica,音爆弾,Tool,,2,10,,45,A grenade-like item that emits a high frequency blast of sound on detonation.,Bomb-Grey.png,
68,Dung,Dung,Bouse,Boñiga,Letame,モンスターのフン,Tool,,1,10,,1,That's right: monster poop. The odor reveals too much about the monster's diet.,Dung.png,
69,Dung Bomb,Dungbombe,Bombe de bouse,Bomba boñiga,Bomba-letame,こやし玉,Tool,,2,10,,80,Releases an odor monsters find repulsive. It may even drive them away... or not.,Dung.png,
70,Smoke Bomb,Rauchbombe,Bombe fumigène,Bomba de humo,Bomba fumogena,けむり玉,Tool,,2,10,,44,Creates a large cloud of smoke wherever it lands.,Smoke-White.png,
71,Poison Smoke Bomb,Giftrauchbombe,Bombe de poison,Bomba humo veneno,Bomba velen-fumo,毒けむり玉,Tool,,2,10,,60,,Smoke-Purple.png,
72,Farcaster,Teleporter,Téléportogène,Transportador,Lancialontano,モドリ玉,Tool,,3,1,,30,Instantly transports you back to base camp.,Smoke-Green.png,
73,Portable Steam Bomb,Tragbare Dampfbombe,Bombe à vapeur X,Sauna portátil,Bomba-vapore portat.,万能湯けむり玉,Tool,,5,3,,60,,Smoke-Yellow.png,
74,Tranq Bomb,Beruhigungsbombe,Bombe tranquillisante,Bomba tranquilizante,Bomba soporifera,捕獲用麻酔玉,Tool,,4,8,,35,A hand grenade used to capture monsters ensnared in traps.,Bomb-Red.png,
75,Spider Web,Spinnennetz,Toile d'araignée,Telaraña,Ragnatela,クモの巣,Tool,,1,10,,6,A very sticky web.,Spider-Web.png,
76,Net,Netz,Filet,Red,Rete,ネット,Tool,,2,10,,54,A sturdy net able to support a certain amount of weight without breaking.,Spider-Web.png,
77,Trap Tool,Fallengerät,Kit de piège,Herramienta trampas,Intrappolatore,トラップツール,Tool,,3,2,,20,A tool you'll need to put a Pitfall Trap or other traps together with.,Traptool-Green.png,
78,Pitfall Trap,Fallgrube,Piège à fosse,Trampa escollo,Trappola coperta,落とし穴,Tool,,3,1,,46,Activates when something heavy walks across. Use this to capture monsters.,Trap-Green.png,
79,Shock Trap,Schockfalle,Piège éléctrochoc,Trampa de choque,Trappola scossa,シビレ罠,Tool,,3,1,,160,Immobilizes a target. You can use this to capture monsters.,Trap-Purple.png,
80,Small Barrel,Kleines Fass,Petit baril,Barril pequeño,Botte piccola,小タル,Tool,,1,10,,8,How many whiffs does it take to find out what was in this empty barrel? Just one!,Barrel-Yellow.png,
81,Large Barrel,Großes Fass,Grand baril,Barril grande,Botte grande,大タル,Tool,,2,10,,21,How many licks does it take to find out what was in this empty barrel? Just one!,Barrel-Red.png,
82,Barrel Bomb S,Fassbombe S,Petite bombe baril,Bomba barril peq.,Bomba-botte pic.,小タル爆弾,Tool,,2,10,,16,A small time bomb. You can use it underwater.,Barrel-Bomb-Yellow.png,
83,Barrel Bomb S+,Fassbombe S+,Petite bombe baril +,Bomba barril peq.+,Bomba-botte pic.+,小タル爆弾Ｇ,Tool,,4,,,52,"A powered-up Barrel Bomb S. Small, but it packs a punch. You can use it underwater.",Barrel-Bomb-Yellow.png,
84,Barrel Bomb L,Fassbombe L,Grande bombe baril,Bomba barril grande,Bomba-botte gr.,大タル爆弾,Tool,,3,3,,52,"A potent bomb that detonates on impact. Waterproofed, so it still works underwater.",Barrel-Bomb-Red.png,
85,Barrel Bomb L+,Fassbombe L+,Grande bombe baril +,Bomba barril gran.+,Bomba-botte gr.+,大タル爆弾Ｇ,Tool,,4,,,80,"A powered-up Barrel Bomb L. Deadly. Waterproofed, so it still works underwater.",Barrel-Bomb-Red.png,
86,Bounce Bomb,Abprallbombe,Bombe artifice,Bomba de rebote,Bomba-missile,打上げタル爆弾,Tool,,2,10,,18,Buy from Store Clerk,Barrel-Bomb-Blue.png,
87,Bounce Bomb+,Abprallbombe+,Bombe artifice +,Bomba de rebote+,Bomba-missile+,打上げタル爆弾Ｇ,Tool,,4,,,68,An improved version of the Bounce Bomb. Requires some skill to use.,Barrel-Bomb-Blue.png,
88,Felvine Bomb,Felvine-Bombe,Bombe Felvine,Bomba vid Felyne,Bomba felvina,マタタビ爆弾,Tool,,4,10,,12,Emits a scent Felynes love. Try hitting monsters with it.,Barrel-Bomb-Pink.png,
89,JUMP Barrel Bomb,42,42,42,42,ＪＵＭＰタル爆弾,Tool,,5,5,,80,,Barrel-Bomb-Blue.png,
90,Huskberry,Hülsenbeere,Baie-coque,Baya hueca,Guscio di bacca,カラの実,Plant,,1,99,,1,A berry that is hollow on the inside.,Husk-Grey.png,
91,Bone Husk,Knochenhülse,Coque d'os,Cáscara de hueso,Involcrosso,カラ骨,Bone,,2,99,,3,,Husk-White.png,
92,Normal S Lv1,Normal S Stufe 1,Munit. normale NV1,Disp. normal Nv1,P normali lv1,LV1 通常弾,Ammo,,1,99,,,,Ammo-White.png,
93,Normal S Lv2,Normal S Stufe 2,Munit. normale NV2,Disp. normal Nv2,P normali lv2,LV2 通常弾,Ammo,,1,99,,1,Non-specialized ammo. More powerful than Lv1.,Ammo-White.png,
94,Normal S Lv3,Normal S Stufe 3,Munit. normale NV3,Disp. normal Nv3,P normali lv3,LV3 通常弾,Ammo,,2,99,,2,"Non-specialized ammo that ricochets, resulting in high damage.",Ammo-White.png,
95,Pierce S Lv1,PerforierSSt1,Balle perçante NV1,Disp. perfor. Nv1,P perforanti lv1,LV1 貫通弾,Ammo,,2,60,,1,Armor-piercing ammo that deals multiple hits to some monsters.,Ammo-White.png,
96,Pierce S Lv2,PerforierSSt2,Balle perçante NV2,Disp. perfor. Nv2,P perforanti lv2,LV2 貫通弾,Ammo,,2,60,,2,Armor-piercing ammo. Higher-level ammo deals additional hits.,Ammo-White.png,
97,Pierce S Lv3,PerforierSSt3,Balle perçante NV3,Disp. perfor. Nv3,P perforanti lv3,LV3 貫通弾,Ammo,,3,60,,3,Armor-piercing ammo. This highest level deals the most hits.,Ammo-White.png,
98,Pellet S Lv1,Schrot S Stufe 1,Grenaille NV1,Disp. perdig. Nv1,P ventaglio lv1,LV1 散弾,Ammo,,2,80,,1,Ammo that hits a wide area. Deals multiple hits at close range.,Ammo-White.png,
99,Pellet S Lv2,Schrot S Stufe 2,Grenaille NV2,Disp. perdig. Nv2,P ventaglio lv2,LV2 散弾,Ammo,,2,70,,2,Ammo that hits a wide area. Higher-level ammo deals additional hits.,Ammo-White.png,
100,Pellet S Lv3,Schrot S Stufe 3,Grenaille NV3,Disp. perdig. Nv3,P ventaglio lv3,LV3 散弾,Ammo,,3,60,,2,Ammo that hits a wide area. This highest level deals the most hits,Ammo-White.png,
101,Crag S Lv1,Explosiv S Stufe 1,Antiblindage NV1,Disp. explos. Nv1,P esplosivi lv1,LV1 徹甲榴弾,Ammo,,3,9,,4,"Powerful ammo that lodges in a target, then explodes.",Ammo-White.png,
102,Crag S Lv2,Explosiv S Stufe 2,Antiblindage NV2,Disp. explos. Nv2,P esplosivi lv2,LV2 徹甲榴弾,Ammo,,3,9,,7,"Very powerful ammo that lodges in a target, then explodes.",Ammo-White.png,
103,Crag S Lv3,Explosiv S Stufe 3,Antiblindage NV3,Disp. explos. Nv3,P esplosivi lv3,LV3 徹甲榴弾,Ammo,,3,9,,7,"Extremely powerful ammo that lodges in a target, then explodes.",Ammo-White.png,
104,Clust S Lv1,Streu S Stufe 1,Fragmentation NV1,Disp. grupo Nv1,P grappolo lv1,LV1 拡散弾,Ammo,,2,3,,4,Fragments into three shells upon impact. Beware of friendly fire!,Ammo-White.png,
105,Clust S Lv2,Streu S Stufe 2,Fragmentation NV2,Disp. grupo Nv2,P grappolo lv2,LV2 拡散弾,Ammo,,3,5,,6,Fragments into four shells upon impact. Beware of friendly fire!,Ammo-White.png,
106,Clust S Lv3,Streu S Stufe 3,Fragmentation NV3,Disp. grupo Nv3,P grappolo lv3,LV3 拡散弾,Ammo,,3,5,,10,Fragments into five shells upon impact. Beware of friendly fire!,Ammo-White.png,
107,Flaming S,Flamme S,Munition de feu,Disparo llama,P fiamma,火炎弾,Ammo,,3,60,,2,Ammo that packs extra punch against monsters susceptible to Fire.,Ammo-Red.png,
108,Water S,Wasser S,Munition aquatique,Disparo agua,P acqua,水冷弾,Ammo,,3,60,,2,Ammo that packs extra punch against monsters susceptible to Water.,Ammo-Cyan.png,
109,Thunder S,Donner S,Munition de foudre,Disparo rayo,P tuono,電撃弾,Ammo,,3,60,,2,Ammo that packs extra punch against monsters susceptible to Thunder.,Ammo-Yellow.png,
110,Freeze S,Frost S,Munition de glace,Disparo congelador,P gelo,氷結弾,Ammo,,3,60,,2,Ammo that packs extra punch against monsters susceptible to Ice.,Ammo-Blue.png,
111,Dragon S,Drachen S,Munition anti-dragon,Disparo draco,P drago,滅龍弾,Ammo,,5,20,,10,Mysterious ammo that won't work in regular Bowguns.,Ammo-Red.png,
112,Poison S Lv1,Gift S Stufe 1,Toxique NV1,Disp. veneno Nv1,P veleno lv1,LV1 毒弾,Ammo,,2,12,,2,Ammo dipped in poison. Some targets require multiple shots.,Ammo-Purple.png,
113,Poison S Lv2,Gift S Stufe 2,Toxique NV2,Disp. veneno Nv2,P veleno lv2,LV2 毒弾,Ammo,,3,8,,2,Ammo dipped in deadly poison. Some targets require multiple shots.,Ammo-Purple.png,
114,Para S Lv1,Lähmung S Stufe 1,Paralysant NV1,Disp. paraliz. Nv1,P paralisi lv1,LV1 麻痺弾,Ammo,,3,12,,3,Ammo that causes paralysis. Some targets require multiple shots.,Ammo-Yellow.png,
115,Para S Lv2,Lähmung S Stufe 2,Paralysant NV2,Disp. paraliz. Nv2,P paralisi lv2,LV2 麻痺弾,Ammo,,4,8,,5,Ammo that paralyzes quickly. Some targets require multiple shots.,Ammo-Yellow.png,
116,Sleep S Lv1,Schlaf S Stufe 1,Somnifère NV1,Disp. sueño Nv1,P sonno lv1,LV1 睡眠弾,Ammo,,3,12,,2,Ammo containing a sleeping agent. Some targets require multiple shots.,Ammo-Cyan.png,
117,Sleep S Lv2,Schlaf S Stufe 2,Somnifère NV2,Disp. sueño Nv2,P sonno lv2,LV2 睡眠弾,Ammo,,4,8,,3,Ammo packed with sleeping agents. Some targets require multiple shots.,Ammo-Cyan.png,
118,Exhaust S Lv1,Ermüdung S St. 1,Léthargique NV1,Disp. fatiga Nv1,P fatica lv1,LV1 減気弾,Ammo,,2,12,,3,Special ammo that drains monsters' stamina.,Ammo-Blue.png,
119,Exhaust S Lv2,Ermüdung S St. 2,Léthargique NV2,Disp. fatiga Nv2,P fatica lv2,LV2 減気弾,Ammo,,3,8,,5,Enhanced special ammo that drains monsters' stamina.,Ammo-Blue.png,
120,Slicing S,Schnitt S,Munition tranchante,Disparo cortador,P laceranti,斬裂弾,Ammo,,3,30,,3,Special ammo that ejects sharp blades on impact. Can it sever tails?,Ammo-White.png,
121,WyvernFire,Wyvernfeuer,Feu de wyverne,Fuego de wyvern,Fuoco wyvern,竜撃弾,Ammo,,4,10,,6,"Ammo patterned after Wyvern's Fire. Not as potent, but can be rapid-fired.",Ammo-Red.png,
122,Blast S,Spreng S,Munition explosive,Disparo de nitro,P scoppio,爆破弾,Ammo,,4,12,,6,,Ammo-Orange.png,
123,Recover S Lv1,Genesung S St. 1,Guérison NV1,Disp. recup. Nv1,P recupero lv1,LV1 回復弾,Ammo,,1,12,,2,Ammo that restores a small amount of Health to the target.,Ammo-Green.png,
124,Recover S Lv2,Genesung S St. 2,Guérison NV2,Disp. recup. Nv2,P recupero lv2,LV2 回復弾,Ammo,,2,12,,2,Ammo that restores a moderate amount of Health to the target.,Ammo-Green.png,
125,Demon S,Dämon S,Munition démoniaque,Disparo demonio,P demone,鬼人弾,Ammo,,3,5,,9,Ammo that fills the target with savage amounts of strength.,Ammo-Red.png,
126,Armor S,Rüstung S,Munition défensive,Disparo armadura,P armatura,硬化弾,Ammo,,3,5,,7,"Ammo that hardens the skin, guarding against attacks and Wind Pressure.",Ammo-Orange.png,
127,Paint S,Farbe S,Paintball,Disparo pintura,P pittura,ペイント弾,Ammo,,1,99,,6,Ammo that marks a monster's position on your Map for a limited time.,Ammo-Pink.png,
128,Tranq S,Beruhigung S,Tranquillisant,Disp. tranquiliz.,P soporiferi,捕獲用麻酔弾,Ammo,,3,8,,4,Bowgun ammo used to capture monsters ensnared in traps.,Ammo-Red.png,
129,Empty Phial,Leere Phiole,Fiole vide,Frasco vacío,Boccetta vuota,空きビン,Coating,,1,99,,1,A regular old empty phial.,Bottle-Empty.png,
130,Power Coating,Kraft-Phiole,Fiole de force,Revest. energía,Boccetta potenza,強撃ビン,Coating,,2,50,,3,An arrow coating that increases the Attack of arrows fired. Capacity 50.,Bottle-Red.png,
131,C.Range Coating,Nahkampf-Phiole,Fiole de combat,Revest. alcance,Boccetta cortor.,接撃ビン,Coating,,3,20,,3,An arrow coating that increases close-range power and melee Sharpness. Capacity 20.,Bottle-White.png,
132,Poison Coating,Gift-Phiole,Fiole de poison,Revest. veneno,Boccetta veleno,毒ビン,Coating,,3,20,,2,An arrow coating that applies Poison effects to arrows fired. Capacity 20,Bottle-Purple.png,
133,Para Coating,Lähm-Phiole,Fiole de paralysie,Revest. paralizante,Boccetta paralisi,麻痺ビン,Coating,,3,20,,3,An arrow coating that applies Paralysis effects to arrows fired. Capacity 20,Bottle-Yellow.png,
134,Sleep Coating,Schlaf-Phiole,Fiole de sommeil,Revest. sueño,Boccetta sonno,睡眠ビン,Coating,,3,20,,2,An arrow coating that applies Sleep effects to arrows fired. Capacity 20,Bottle-Cyan.png,
135,Exhaust Coating,Ermüdung-Phiole,Fiole de faiblesse,Revest. fatiga,Boccetta fatica,減気ビン,Coating,,3,20,,2,An arrow coating that causes arrows fired to drain monsters' stamina. Capacity 20,Bottle-Blue.png,
136,Blast Coating,Spreng-Phiole,Fiole explosive,Revest. nitro,Boccetta scoppio,爆破ビン,Coating,,3,20,,6,,Bottle-Orange.png,
137,Paint Coating,Farb-Phiole,Fiole de peinture,Revest. pintura,Boccetta colore,ペイントビン,Coating,,1,99,,6,An arrow coating that marks a monster's position on the map for a limited time. Capacity 99.,Bottle-Pink.png,
138,Worm,Wurm,Ver,Gusano,Esca verme,釣りミミズ,Bait,,1,10,,2,"A fishing lure. Wriggles underwater, enticing those fishies to bite.",Bait-Grey.png,
139,Mega Fishing Fly,Megafliegenköder,Méga mouche,Megamosca pesca,Esca mosca,釣りフィーバエ,Bait,,3,10,,3,A fishing lure. Causes a feeding frenzy. No fish can resist this one!,Bait-Pink.png,
140,Frog,Frosch,Grenouille,Rana,Esca rana,釣りカエル,Bait,,2,10,,15,Know any monsters good at fishing? Try fighting fire with fire.,Bait-Blue.png,
