_id,slot,defense,max_defense,fire_res,thunder_res,dragon_res,water_res,ice_res,gender,hunter_type,num_slots
1984,Legs,8,114,1,-1,1,-1,-1,Both,Blade,0
1985,Head,4,73,2,0,2,0,0,Both,Gunner,1
1986,Body,4,73,2,0,2,0,0,Both,Gunner,1
1987,Arms,4,73,2,0,2,0,0,Both,Gunner,1
1988,Waist,4,73,2,0,2,0,0,Both,Gunner,1
1989,Legs,4,73,2,0,2,0,0,Both,Gunner,0
1990,Head,15,117,1,2,-3,-2,1,Both,Blade,1
1991,Body,15,117,1,2,-3,-2,1,Both,Blade,1
1992,Arms,15,117,1,2,-3,-2,1,Both,Blade,2
1993,Waist,15,117,1,2,-3,-2,1,Both,Blade,0
1994,Legs,15,117,1,2,-3,-2,1,Both,Blade,3
1995,Head,8,74,2,3,-2,-1,2,Both,Gunner,1
1996,Body,8,74,2,3,-2,-1,2,Both,Gunner,1
1997,Arms,8,74,2,3,-2,-1,2,Both,Gunner,2
1998,Waist,8,74,2,3,-2,-1,2,Both,Gunner,0
1999,Legs,8,74,2,3,-2,-1,2,Both,Gunner,3
2000,Head,10,116,-2,0,1,0,0,Both,Blade,2
2001,Body,10,116,-2,0,1,0,0,Both,Blade,0
2002,Arms,10,116,-2,0,1,0,0,Both,Blade,1
2003,Waist,10,116,-2,0,1,0,0,Both,Blade,0
2004,Legs,10,116,-2,0,1,0,0,Both,Blade,1
2005,Head,5,73,-1,1,2,1,1,Both,Gunner,1
2006,Body,5,73,-1,1,2,1,1,Both,Gunner,0
2007,Arms,5,73,-1,1,2,1,1,Both,Gunner,1
2008,Waist,5,73,-1,1,2,1,1,Both,Gunner,0
2009,Legs,5,73,-1,1,2,1,1,Both,Gunner,1
2010,Head,12,116,1,-2,2,1,-3,Both,Blade,1
2011,Body,12,116,1,-2,2,1,-3,Both,Blade,1
2012,Arms,12,116,1,-2,2,1,-3,Both,Blade,1
2013,Waist,12,116,1,-2,2,1,-3,Both,Blade,1
2014,Legs,12,116,1,-2,2,1,-3,Both,Blade,1
2015,Head,6,73,2,-1,3,2,-2,Both,Gunner,1
2016,Body,6,73,2,-1,3,2,-2,Both,Gunner,1
2017,Arms,6,73,2,-1,3,2,-2,Both,Gunner,1
2018,Waist,6,73,2,-1,3,2,-2,Both,Gunner,1
2019,Legs,6,73,2,-1,3,2,-2,Both,Gunner,1
2020,Head,15,117,0,-3,2,-3,2,Both,Blade,2
2021,Body,15,117,0,-3,2,-3,2,Both,Blade,2
2022,Arms,15,117,0,-3,2,-3,2,Both,Blade,1
2023,Waist,15,117,0,-3,2,-3,2,Both,Blade,1
2024,Legs,15,117,0,-3,2,-3,2,Both,Blade,0
2025,Head,8,74,1,-2,3,-2,3,Both,Gunner,2
2026,Body,8,74,1,-2,3,-2,3,Both,Gunner,2
2027,Arms,8,74,1,-2,3,-2,3,Both,Gunner,1
2028,Waist,8,74,1,-2,3,-2,3,Both,Gunner,2
2029,Legs,8,74,1,-2,3,-2,3,Both,Gunner,0
2030,Head,15,117,-2,-1,2,2,2,Both,Blade,3
2031,Body,15,117,-2,-1,2,2,2,Both,Blade,1
2032,Arms,15,117,-2,-1,2,2,2,Both,Blade,1
2033,Waist,15,117,-2,-1,2,2,2,Both,Blade,1
2034,Legs,15,117,-2,-1,2,2,2,Both,Blade,2
2035,Head,8,74,-1,0,3,3,3,Both,Gunner,3
2036,Body,8,74,-1,0,3,3,3,Both,Gunner,1
2037,Arms,8,74,-1,0,3,3,3,Both,Gunner,1
2038,Waist,8,74,-1,0,3,3,3,Both,Gunner,1
2039,Legs,8,74,-1,0,3,3,3,Both,Gunner,2
2040,Head,14,116,-3,-2,2,2,0,Both,Blade,0
2041,Body,14,116,-3,-2,2,2,0,Both,Blade,2
2042,Arms,14,116,-3,-2,2,2,0,Both,Blade,1
2043,Waist,14,116,-3,-2,2,2,0,Both,Blade,1
2044,Legs,14,116,-3,-2,2,2,0,Both,Blade,0
2045,Head,7,74,-2,-1,3,3,1,Both,Gunner,0
2046,Body,7,74,-2,-1,3,3,1,Both,Gunner,2
2047,Arms,7,74,-2,-1,3,3,1,Both,Gunner,1
2048,Waist,7,74,-2,-1,3,3,1,Both,Gunner,1
2049,Legs,7,74,-2,-1,3,3,1,Both,Gunner,0
2050,Head,14,116,-3,1,2,1,-1,Both,Blade,1
2051,Body,14,116,-3,1,2,1,-1,Both,Blade,0
2052,Arms,14,116,-3,1,2,1,-1,Both,Blade,1
2053,Waist,14,116,-3,1,2,1,-1,Both,Blade,1
2054,Legs,14,116,-3,1,2,1,-1,Both,Blade,1
2055,Head,7,74,-2,2,3,2,0,Both,Gunner,1
2056,Body,7,74,-2,2,3,2,0,Both,Gunner,0
2057,Arms,7,74,-2,2,3,2,0,Both,Gunner,1
2058,Waist,7,74,-2,2,3,2,0,Both,Gunner,1
2059,Legs,7,74,-2,2,3,2,0,Both,Gunner,1
2060,Head,14,116,-4,2,0,1,-2,Both,Blade,1
2061,Body,14,116,-4,2,0,1,-2,Both,Blade,1
2062,Arms,14,116,-4,2,0,1,-2,Both,Blade,2
2063,Waist,14,116,-4,2,0,1,-2,Both,Blade,1
2064,Legs,14,116,-4,2,0,1,-2,Both,Blade,1
2065,Head,7,74,-3,3,1,2,-1,Both,Gunner,1
2066,Body,7,74,-3,3,1,2,-1,Both,Gunner,1
2067,Arms,7,74,-3,3,1,2,-1,Both,Gunner,2
2068,Waist,7,74,-3,3,1,2,-1,Both,Gunner,1
2069,Legs,7,74,-3,3,1,2,-1,Both,Gunner,1
2070,Head,16,118,2,-2,1,-3,0,Both,Blade,1
2071,Body,16,118,2,-2,1,-3,0,Both,Blade,0
2072,Arms,16,118,2,-2,1,-3,0,Both,Blade,1
2073,Waist,16,118,2,-2,1,-3,0,Both,Blade,0
2074,Legs,16,118,2,-2,1,-3,0,Both,Blade,0
2075,Head,8,74,3,-1,2,-2,1,Both,Gunner,2
2076,Body,8,74,3,-1,2,-2,1,Both,Gunner,0
2077,Arms,8,74,3,-1,2,-2,1,Both,Gunner,1
2078,Waist,8,74,3,-1,2,-2,1,Both,Gunner,0
2079,Legs,8,74,3,-1,2,-2,1,Both,Gunner,0
2080,Head,19,121,-2,-2,2,2,1,Both,Blade,1
2081,Body,19,121,-2,-2,2,2,1,Both,Blade,1
2082,Arms,19,121,-2,-2,2,2,1,Both,Blade,0
2083,Waist,19,121,-2,-2,2,2,1,Both,Blade,1
2084,Legs,19,121,-2,-2,2,2,1,Both,Blade,2
2085,Head,9,75,-1,-1,3,3,2,Both,Gunner,1
2086,Body,9,75,-1,-1,3,3,2,Both,Gunner,1
2087,Arms,9,75,-1,-1,3,3,2,Both,Gunner,0
2088,Waist,9,75,-1,-1,3,3,2,Both,Gunner,1
2089,Legs,9,75,-1,-1,3,3,2,Both,Gunner,2
2090,Head,20,122,-2,-3,0,2,2,Both,Blade,1
2091,Body,20,122,-2,-3,0,2,2,Both,Blade,1
2092,Arms,20,122,-2,-3,0,2,2,Both,Blade,1
2093,Waist,20,122,-2,-3,0,2,2,Both,Blade,2
2094,Legs,20,122,-2,-3,0,2,2,Both,Blade,1
2095,Head,10,76,-1,-2,1,3,3,Both,Gunner,2
2096,Body,10,76,-1,-2,1,3,3,Both,Gunner,1
2097,Arms,10,76,-1,-2,1,3,3,Both,Gunner,1
2098,Waist,10,76,-1,-2,1,3,3,Both,Gunner,2
2099,Legs,10,76,-1,-2,1,3,3,Both,Gunner,1
2100,Head,20,122,1,0,1,-2,-4,Both,Blade,2
2101,Body,20,122,1,0,1,-2,-4,Both,Blade,1
2102,Arms,20,122,1,0,1,-2,-4,Both,Blade,0
2103,Waist,20,122,1,0,1,-2,-4,Both,Blade,1
2104,Legs,20,122,1,0,1,-2,-4,Both,Blade,1
2105,Head,10,76,2,1,2,-1,-3,Both,Gunner,2
2106,Body,10,76,2,1,2,-1,-3,Both,Gunner,1
2107,Arms,10,76,2,1,2,-1,-3,Both,Gunner,0
2108,Waist,10,76,2,1,2,-1,-3,Both,Gunner,1
2109,Legs,10,76,2,1,2,-1,-3,Both,Gunner,1
2110,Head,19,121,-4,1,1,1,2,Both,Blade,1
2111,Body,19,121,-4,1,1,1,2,Both,Blade,2
2112,Arms,19,121,-4,1,1,1,2,Both,Blade,1
2113,Waist,19,121,-4,1,1,1,2,Both,Blade,2
2114,Legs,19,121,-4,1,1,1,2,Both,Blade,1
2115,Head,10,76,-3,2,2,2,3,Both,Gunner,2
2116,Body,10,76,-3,2,2,2,3,Both,Gunner,2
2117,Arms,10,76,-3,2,2,2,3,Both,Gunner,1
2118,Waist,10,76,-3,2,2,2,3,Both,Gunner,2
2119,Legs,10,76,-3,2,2,2,3,Both,Gunner,1
2120,Head,19,121,2,-2,-3,0,0,Both,Blade,1
2121,Body,19,121,2,-2,-3,0,0,Both,Blade,0
2122,Arms,19,121,2,-2,-3,0,0,Both,Blade,1
2123,Waist,19,121,2,-2,-3,0,0,Both,Blade,2
2124,Legs,19,121,2,-2,-3,0,0,Both,Blade,2
2125,Head,10,76,3,-1,-2,1,1,Both,Gunner,1
2126,Body,10,76,3,-1,-2,1,1,Both,Gunner,0
2127,Arms,10,76,3,-1,-2,1,1,Both,Gunner,1
2128,Waist,10,76,3,-1,-2,1,1,Both,Gunner,2
2129,Legs,10,76,3,-1,-2,1,1,Both,Gunner,2
2130,Head,13,117,0,0,2,0,-4,Both,Blade,1
2131,Body,13,117,0,0,2,0,-4,Both,Blade,0
2132,Arms,13,117,0,0,2,0,-4,Both,Blade,0
2133,Waist,13,117,0,0,2,0,-4,Both,Blade,2
2134,Legs,13,117,0,0,2,0,-4,Both,Blade,1
2135,Head,7,74,1,1,3,1,-3,Both,Gunner,2
2136,Body,7,74,1,1,3,1,-3,Both,Gunner,0
2137,Arms,7,74,1,1,3,1,-3,Both,Gunner,0
2138,Waist,7,74,1,1,3,1,-3,Both,Gunner,2
2139,Legs,7,74,1,1,3,1,-3,Both,Gunner,1
2140,Head,16,118,2,-2,2,-1,-3,Both,Blade,1
2141,Body,16,118,2,-2,2,-1,-3,Both,Blade,1
2142,Arms,16,118,2,-2,2,-1,-3,Both,Blade,0
2143,Waist,16,118,2,-2,2,-1,-3,Both,Blade,2
2144,Legs,16,118,2,-2,2,-1,-3,Both,Blade,2
2145,Head,8,74,3,-1,3,0,-2,Both,Gunner,2
2146,Body,8,74,3,-1,3,0,-2,Both,Gunner,1
2147,Arms,8,74,3,-1,3,0,-2,Both,Gunner,0
2148,Waist,8,74,3,-1,3,0,-2,Both,Gunner,2
2149,Legs,8,74,3,-1,3,0,-2,Both,Gunner,2
2150,Head,18,120,0,1,-3,-2,1,Both,Blade,2
2151,Body,18,120,0,1,-3,-2,1,Both,Blade,0
2152,Arms,18,120,0,1,-3,-2,1,Both,Blade,1
2153,Waist,18,120,0,1,-3,-2,1,Both,Blade,2
2154,Legs,18,120,0,1,-3,-2,1,Both,Blade,1
2155,Head,9,75,1,2,-2,-1,2,Both,Gunner,2
2156,Body,9,75,1,2,-2,-1,2,Both,Gunner,0
2157,Arms,9,75,1,2,-2,-1,2,Both,Gunner,1
2158,Waist,9,75,1,2,-2,-1,2,Both,Gunner,2
2159,Legs,9,75,1,2,-2,-1,2,Both,Gunner,1
2160,Head,13,117,-2,0,1,1,-1,Both,Blade,1
2161,Body,13,117,-2,0,1,1,-1,Both,Blade,1
2162,Arms,13,117,-2,0,1,1,-1,Both,Blade,1
2163,Waist,13,117,-2,0,1,1,-1,Both,Blade,1
2164,Legs,13,117,-2,0,1,1,-1,Both,Blade,0
2165,Head,7,74,-1,1,2,2,0,Both,Gunner,2
2166,Body,7,74,-1,1,2,2,0,Both,Gunner,1
2167,Arms,7,74,-1,1,2,2,0,Both,Gunner,1
2168,Waist,7,74,-1,1,2,2,0,Both,Gunner,1
2169,Legs,7,74,-1,1,2,2,0,Both,Gunner,0
2170,Head,15,117,-3,-1,1,2,-1,Both,Blade,0
2171,Body,15,117,-3,-1,1,2,-1,Both,Blade,1
2172,Arms,15,117,-3,-1,1,2,-1,Both,Blade,1
2173,Waist,15,117,-3,-1,1,2,-1,Both,Blade,1
2174,Legs,15,117,-3,-1,1,2,-1,Both,Blade,1
2175,Head,7,74,-2,0,2,3,0,Both,Gunner,0
2176,Body,7,74,-2,0,2,3,0,Both,Gunner,1
2177,Arms,7,74,-2,0,2,3,0,Both,Gunner,1
2178,Waist,7,74,-2,0,2,3,0,Both,Gunner,1
2179,Legs,7,74,-2,0,2,3,0,Both,Gunner,1
2180,Head,18,120,0,1,0,0,-2,Both,Blade,1
2181,Body,18,120,-4,1,0,4,-2,Both,Blade,0
2182,Arms,18,120,-4,1,0,4,-2,Both,Blade,1
2183,Waist,18,120,4,1,0,-4,-2,Both,Blade,1
2184,Legs,18,120,4,1,0,-4,-2,Both,Blade,1
2185,Head,8,74,1,2,1,1,-1,Both,Gunner,1
2186,Body,8,74,-3,2,1,5,-1,Both,Gunner,0
2187,Arms,8,74,-3,2,1,5,-1,Both,Gunner,0
2188,Waist,8,74,5,2,1,-3,-1,Both,Gunner,1
2189,Legs,8,74,5,2,1,-3,-1,Both,Gunner,1
2190,Head,21,123,2,-2,1,0,-4,Both,Blade,1
2191,Body,21,123,2,-2,1,0,-4,Both,Blade,1
2192,Arms,21,123,2,-2,1,0,-4,Both,Blade,1
2193,Waist,21,123,2,-2,1,0,-4,Both,Blade,2
2194,Legs,21,123,2,-2,1,0,-4,Both,Blade,0
2195,Head,10,76,3,-1,2,1,-3,Both,Gunner,1
2196,Body,10,76,3,-1,2,1,-3,Both,Gunner,1
2197,Arms,10,76,3,-1,2,1,-3,Both,Gunner,1
2198,Waist,10,76,3,-1,2,1,-3,Both,Gunner,2
2199,Legs,10,76,3,-1,2,1,-3,Both,Gunner,0
2200,Head,21,123,1,-1,0,2,-1,Both,Blade,1
2201,Body,21,123,1,-1,0,2,-1,Both,Blade,0
2202,Arms,21,123,1,-1,0,2,-1,Both,Blade,1
2203,Waist,21,123,1,-1,0,2,-1,Both,Blade,2
2204,Legs,21,123,1,-1,0,2,-1,Both,Blade,2
2205,Head,10,76,2,0,1,3,0,Both,Gunner,2
2206,Body,10,76,2,0,1,3,0,Both,Gunner,2
2207,Arms,10,76,2,0,1,3,0,Both,Gunner,1
2208,Waist,10,76,2,0,1,3,0,Both,Gunner,0
2209,Legs,10,76,2,0,1,3,0,Both,Gunner,1
2210,Head,14,116,-2,3,0,-2,-1,Both,Blade,1
2211,Body,14,116,-2,3,0,-2,-1,Both,Blade,0
2212,Arms,14,116,-2,3,0,-2,-1,Both,Blade,1
2213,Waist,14,116,-2,3,0,-2,-1,Both,Blade,2
2214,Legs,14,116,-2,3,0,-2,-1,Both,Blade,1
2215,Head,7,74,-1,4,1,-1,0,Both,Gunner,1
2216,Body,7,74,-1,4,1,-1,0,Both,Gunner,0
2217,Arms,7,74,-1,4,1,-1,0,Both,Gunner,1
2218,Waist,7,74,-1,4,1,-1,0,Both,Gunner,2
2219,Legs,7,74,-1,4,1,-1,0,Both,Gunner,1
2220,Head,14,116,2,-2,0,-2,-1,Both,Blade,2
2221,Body,14,116,2,-2,0,-2,-1,Both,Blade,0
2222,Arms,14,116,2,-2,0,-2,-1,Both,Blade,1
2223,Waist,14,116,2,-2,0,-2,-1,Both,Blade,1
2224,Legs,14,116,2,-2,0,-2,-1,Both,Blade,1
2225,Head,7,74,3,-1,1,-1,0,Both,Gunner,2
2226,Body,7,74,3,-1,1,-1,0,Both,Gunner,0
2227,Arms,7,74,3,-1,1,-1,0,Both,Gunner,1
2228,Waist,7,74,3,-1,1,-1,0,Both,Gunner,1
2229,Legs,7,74,3,-1,1,-1,0,Both,Gunner,1
2230,Head,21,123,-4,-3,-2,2,1,Both,Blade,1
2231,Body,21,123,-4,-3,-2,2,1,Both,Blade,0
2232,Arms,21,123,-4,-3,-2,2,1,Both,Blade,2
2233,Waist,21,123,-4,-3,-2,2,1,Both,Blade,1
2234,Legs,21,123,-4,-3,-2,2,1,Both,Blade,2
2235,Head,11,77,-3,-2,-1,3,2,Both,Gunner,2
2236,Body,11,77,-3,-2,-1,3,2,Both,Gunner,0
2237,Arms,11,77,-3,-2,-1,3,2,Both,Gunner,2
2238,Waist,11,77,-3,-2,-1,3,2,Both,Gunner,1
2239,Legs,11,77,-3,-2,-1,3,2,Both,Gunner,2
2240,Head,23,125,2,-2,-3,0,0,Both,Blade,0
2241,Body,23,125,2,-2,-3,0,0,Both,Blade,0
2242,Arms,23,125,2,-2,-3,0,0,Both,Blade,1
2243,Waist,23,125,2,-2,-3,0,0,Both,Blade,1
2244,Legs,23,125,2,-2,-3,0,0,Both,Blade,1
2245,Head,12,78,3,-1,-2,1,1,Both,Gunner,0
2246,Body,12,78,3,-1,-2,1,1,Both,Gunner,0
2247,Arms,12,78,3,-1,-2,1,1,Both,Gunner,1
2248,Waist,12,78,3,-1,-2,1,1,Both,Gunner,1
2249,Legs,12,78,3,-1,-2,1,1,Both,Gunner,1
2250,Head,22,124,2,-4,-2,-1,0,Both,Blade,1
2251,Body,22,124,2,-4,-2,-1,0,Both,Blade,2
2252,Arms,22,124,2,-4,-2,-1,0,Both,Blade,1
2253,Waist,22,124,2,-4,-2,-1,0,Both,Blade,1
2254,Legs,22,124,2,-4,-2,-1,0,Both,Blade,2
2255,Head,11,77,3,-3,-1,0,1,Both,Gunner,1
2256,Body,11,77,3,-3,-1,0,1,Both,Gunner,2
2257,Arms,11,77,3,-3,-1,0,1,Both,Gunner,1
2258,Waist,11,77,3,-3,-1,0,1,Both,Gunner,1
2259,Legs,11,77,3,-3,-1,0,1,Both,Gunner,2
2260,Head,21,123,0,2,1,-2,-4,Both,Blade,2
2261,Body,21,123,0,2,1,-2,-4,Both,Blade,0
2262,Arms,21,123,0,2,1,-2,-4,Both,Blade,1
2263,Waist,21,123,0,2,1,-2,-4,Both,Blade,1
2264,Legs,21,123,0,2,1,-2,-4,Both,Blade,2
2265,Head,10,76,1,3,2,-1,-3,Both,Gunner,2
2266,Body,10,76,1,3,2,-1,-3,Both,Gunner,0
2267,Arms,10,76,1,3,2,-1,-3,Both,Gunner,1
2268,Waist,10,76,1,3,2,-1,-3,Both,Gunner,1
2269,Legs,10,76,1,3,2,-1,-3,Both,Gunner,0
2270,Head,21,123,-3,-1,2,2,-2,Both,Blade,1
2271,Body,21,123,-3,-1,2,2,-2,Both,Blade,1
2272,Arms,21,123,-3,-1,2,3,-2,Both,Blade,2
2273,Waist,21,123,-2,-3,2,1,1,Both,Blade,2
2274,Legs,21,123,-3,-1,2,2,-2,Both,Blade,1
2275,Head,10,76,-2,0,3,3,-1,Both,Gunner,2
2276,Body,10,76,-2,0,3,3,-1,Both,Gunner,1
2277,Arms,10,76,-2,0,3,3,-1,Both,Gunner,2
2278,Waist,10,76,-1,-2,3,2,2,Both,Gunner,1
2279,Legs,10,76,-2,0,3,3,-1,Both,Gunner,1
2280,Head,23,125,2,0,-2,-3,1,Both,Blade,1
2281,Body,23,125,2,0,-2,-3,1,Both,Blade,2
2282,Arms,23,125,2,0,-2,-3,1,Both,Blade,2
2283,Waist,23,125,2,0,-2,-3,1,Both,Blade,0
2284,Legs,23,125,2,0,-2,-3,1,Both,Blade,1
2285,Head,12,78,3,1,-1,-2,2,Both,Gunner,1
2286,Body,12,78,3,1,-1,-2,2,Both,Gunner,2
2287,Arms,12,78,3,1,-1,-2,2,Both,Gunner,2
2288,Waist,12,78,3,1,-1,-2,2,Both,Gunner,0
2289,Legs,12,78,3,1,-1,-2,2,Both,Gunner,1
2290,Head,22,124,2,0,0,-4,-2,Both,Blade,1
2291,Body,22,124,2,0,0,-4,-2,Both,Blade,1
2292,Arms,22,124,2,0,0,-4,-2,Both,Blade,2
2293,Waist,22,124,2,0,0,-4,-2,Both,Blade,2
2294,Legs,22,124,2,0,0,-4,-2,Both,Blade,1
2295,Head,11,77,3,1,1,-3,-1,Both,Gunner,1
2296,Body,11,77,3,1,1,-3,-1,Both,Gunner,1
2297,Arms,11,77,3,1,1,-3,-1,Both,Gunner,2
2298,Waist,11,77,3,1,1,-3,-1,Both,Gunner,2
2299,Legs,11,77,3,1,1,-3,-1,Both,Gunner,1
2300,Head,26,126,2,-3,-3,1,2,Male,Blade,2
2301,Body,26,126,2,-3,-3,1,2,Male,Blade,1
2302,Arms,26,126,2,-3,-3,1,2,Male,Blade,0
2303,Waist,26,126,2,-3,-3,1,2,Male,Blade,1
2304,Legs,26,126,2,-3,-3,1,2,Male,Blade,0
2305,Head,13,78,3,-2,-2,2,3,Male,Gunner,2
2306,Body,13,78,3,-2,-2,2,3,Male,Gunner,1
2307,Arms,13,78,3,-2,-2,2,3,Male,Gunner,2
2308,Waist,13,78,3,-2,-2,2,3,Male,Gunner,1
2309,Legs,13,78,3,-2,-2,2,3,Male,Gunner,0
2310,Head,26,126,2,-3,-3,1,2,Female,Blade,2
2311,Body,26,126,2,-3,-3,1,2,Female,Blade,1
2312,Arms,26,126,2,-3,-3,1,2,Female,Blade,0
2313,Waist,26,126,2,-3,-3,1,2,Female,Blade,1
2314,Legs,26,126,2,-3,-3,1,2,Female,Blade,0
2315,Head,13,78,3,-2,-2,2,3,Female,Gunner,2
2316,Body,13,78,3,-2,-2,2,3,Female,Gunner,1
2317,Arms,13,78,3,-2,-2,2,3,Female,Gunner,2
2318,Waist,13,78,3,-2,-2,2,3,Female,Gunner,1
2319,Legs,13,78,3,-2,-2,2,3,Female,Gunner,0
2320,Head,24,126,-3,0,-5,3,1,Male,Blade,1
2321,Body,24,126,-3,0,-5,3,1,Male,Blade,1
2322,Arms,24,126,-3,0,-5,3,1,Male,Blade,1
2323,Waist,24,126,-3,0,-5,3,1,Male,Blade,1
2324,Legs,24,126,-3,0,-5,3,1,Male,Blade,2
2325,Head,12,78,-2,1,-4,4,2,Male,Gunner,2
2326,Body,12,78,-2,1,-4,4,2,Male,Gunner,1
2327,Arms,12,78,-2,1,-4,4,2,Male,Gunner,1
2328,Waist,12,78,-2,1,-4,4,2,Male,Gunner,1
2329,Legs,12,78,-2,1,-4,4,2,Male,Gunner,2
2330,Head,24,126,-3,0,-5,3,1,Female,Blade,1
2331,Body,24,126,-3,0,-5,3,1,Female,Blade,1
2332,Arms,24,126,-3,0,-5,3,1,Female,Blade,1
2333,Waist,24,126,-3,0,-5,3,1,Female,Blade,1
2334,Legs,24,126,-3,0,-5,3,1,Female,Blade,2
2335,Head,12,78,-2,1,-4,4,2,Female,Gunner,2
2336,Body,12,78,-2,1,-4,4,2,Female,Gunner,1
2337,Arms,12,78,-2,1,-4,4,2,Female,Gunner,1
2338,Waist,12,78,-2,1,-4,4,2,Female,Gunner,1
2339,Legs,12,78,-2,1,-4,4,2,Female,Gunner,2
2340,Head,24,126,1,1,0,-3,-2,Both,Blade,2
2341,Body,24,126,1,1,0,-3,-2,Both,Blade,1
2342,Arms,24,126,1,1,0,-3,-2,Both,Blade,3
2343,Waist,24,126,1,1,0,-3,-2,Both,Blade,2
2344,Legs,24,126,1,1,0,-3,-2,Both,Blade,2
2345,Head,12,78,2,2,1,-2,-1,Both,Gunner,2
2346,Body,12,78,2,2,1,-2,-1,Both,Gunner,1
2347,Arms,12,78,2,2,1,-2,-1,Both,Gunner,3
2348,Waist,12,78,2,2,1,-2,-1,Both,Gunner,2
